STATENAME,URL,WEBSITE,ACTIVITYESTIMATE,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-30-2006,52,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Jan-06-2007,1,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Jan-13-2007,2,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Jan-20-2007,3,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Jan-27-2007,4,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-03-2007,5,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Feb-10-2007,6,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-17-2007,7,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Feb-24-2007,8,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-03-2007,9,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-10-2007,10,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Mar-17-2007,11,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Mar-24-2007,12,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Mar-31-2007,13,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-07-2007,14,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Apr-14-2007,15,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-21-2007,16,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-28-2007,17,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-05-2007,18,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-12-2007,19,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-19-2007,20,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-06-2007,40,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-13-2007,41,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-20-2007,42,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-27-2007,43,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-03-2007,44,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-10-2007,45,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-17-2007,46,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-24-2007,47,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Dec-01-2007,48,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Dec-08-2007,49,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Dec-15-2007,50,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Dec-22-2007,51,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Dec-29-2007,52,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-05-2008,1,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-12-2008,2,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Jan-19-2008,3,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Jan-26-2008,4,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-02-2008,5,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-09-2008,6,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-16-2008,7,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-23-2008,8,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-01-2008,9,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-08-2008,10,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-15-2008,11,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-22-2008,12,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-29-2008,13,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Apr-05-2008,14,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-12-2008,15,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-19-2008,16,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-26-2008,17,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,May-03-2008,18,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-10-2008,19,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-17-2008,20,2007-08
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-04-2008,40,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-11-2008,41,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-18-2008,42,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-25-2008,43,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-01-2008,44,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-08-2008,45,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-15-2008,46,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-22-2008,47,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-29-2008,48,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Dec-06-2008,49,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Dec-13-2008,50,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Dec-20-2008,51,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Dec-27-2008,52,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Jan-03-2009,53,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-10-2009,1,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-17-2009,2,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Jan-24-2009,3,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-31-2009,4,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-07-2009,5,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-14-2009,6,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-21-2009,7,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-28-2009,8,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-07-2009,9,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-14-2009,10,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-21-2009,11,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-28-2009,12,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Apr-04-2009,13,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Apr-11-2009,14,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Apr-18-2009,15,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-25-2009,16,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,May-02-2009,17,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,May-09-2009,18,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,May-16-2009,19,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,May-23-2009,20,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,May-30-2009,21,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jun-06-2009,22,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Jun-13-2009,23,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Jun-20-2009,24,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Jun-27-2009,25,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jul-04-2009,26,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jul-11-2009,27,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jul-18-2009,28,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jul-25-2009,29,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Aug-01-2009,30,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Aug-08-2009,31,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Aug-15-2009,32,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Aug-22-2009,33,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Aug-29-2009,34,2008-09
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Sep-05-2009,35,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Sep-12-2009,36,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Sep-19-2009,37,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Sep-26-2009,38,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Oct-03-2009,39,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Oct-10-2009,40,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Oct-17-2009,41,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Oct-24-2009,42,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Oct-31-2009,43,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Nov-07-2009,44,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Nov-14-2009,45,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Nov-21-2009,46,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Nov-28-2009,47,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-05-2009,48,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-12-2009,49,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-19-2009,50,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-26-2009,51,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Jan-02-2010,52,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-09-2010,1,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-16-2010,2,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-23-2010,3,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-30-2010,4,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-06-2010,5,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-13-2010,6,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-20-2010,7,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-27-2010,8,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-06-2010,9,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-13-2010,10,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-20-2010,11,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-27-2010,12,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Apr-03-2010,13,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Apr-10-2010,14,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Apr-17-2010,15,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Apr-24-2010,16,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,May-01-2010,17,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-08-2010,18,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-15-2010,19,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-22-2010,20,2009-10
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-09-2010,40,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-16-2010,41,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Oct-23-2010,42,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Oct-30-2010,43,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Nov-06-2010,44,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Nov-13-2010,45,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Nov-20-2010,46,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Nov-27-2010,47,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Dec-04-2010,48,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Dec-11-2010,49,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-18-2010,50,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-25-2010,51,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Jan-01-2011,52,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Jan-08-2011,1,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Jan-15-2011,2,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Jan-22-2011,3,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Jan-29-2011,4,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-05-2011,5,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-12-2011,6,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-19-2011,7,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-26-2011,8,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-05-2011,9,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-12-2011,10,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Mar-19-2011,11,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Mar-26-2011,12,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Apr-02-2011,13,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Apr-09-2011,14,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-16-2011,15,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Apr-23-2011,16,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-30-2011,17,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,May-07-2011,18,2010-11
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-14-2011,19,2010-11
