Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2015,"Cum 2015, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2014,"Total cases reported  2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",States reporting cases during current week (No.) 
"Viral hemorrhagic fever, Marburg fever††,****:",2015,1,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,1,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Yellow fever,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2015,2,,-,,-,,-,,-,,-,,-,1,,,-,
"Arboviral diseases, California serogroup virus disease**,††",2015,2,,-,,-,0,,80,,95,,81,,137,,75,,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,2,,NN,,NN,0,,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,2,,-,,-,0,,8,,8,,15,,4,,10,,
"Arboviral diseases, Powassan virus disease**,††",2015,2,,-,,-,,-,8,,12,,7,,16,,8,,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,2,,-,,-,,-,9,,1,,3,,6,,10,,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2015,2,1,,4,,2,,143,,152,,168,,153,,112,,
"Botulism, foodborne",2015,2,,-,3,,0,,11,,4,,27,,24,,7,,
"Botulism, infant",2015,2,1,,1,,2,,113,,136,,123,,97,,80,,LA (1 )
"Botulism, other (wound and unspecified)",2015,2,,-,,-,0,,19,,12,,18,,32,,25,,
Brucellosis,2015,2,,-,,-,2,,87,,99,,114,,79,,115,,
Chancroid,2015,2,,-,,-,0,,16,,,-,15,,8,,24,,
Cholera,2015,2,,-,,-,1,,,-,14,,17,,40,,13,,
Cyclosporiasis††,2015,2,,-,,-,2,,370,,784,,123,,151,,179,,
Diphtheria,2015,2,,-,,-,,-,1,,,-,1,,,-,,-,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,2,,-,,-,0,,29,,31,,30,,14,,23,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,2,,-,3,,5,,175,,222,,205,,145,,200,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,2,5,,7,,5,,227,,185,,210,,226,,223,,"NYC (1 ), OH (1 ), FL (1 ), AR (1 ), OK (1 )"
Hansen disease††,2015,2,,-,,-,2,,54,,81,,82,,82,,98,,
"Hantavirus infection (non-HPS)¶, ††",2015,2,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Hantavirus Pulmonary Syndrome (HPS)††,2015,2,,-,,-,0,,25,,21,,30,,23,,20,,
"Hemolytic uremic syndrome, postdiarrheal††",2015,2,,-,1,,3,,221,,329,,274,,290,,266,,
"Hepatitis B, virus infection perinatal",2015,2,,-,,-,1,,36,,48,,40,,,NP,,NP,
"Influenza-associated pediatric mortality**,††",2015,2,11,,30,,5,,130,,160,,52,,118,,61,,"PA (1 ), IN (1 ), MI (1 ), WI (3 ), MO (1 ), SD (1 ), TX (1 ), NV (1 ), OK (1 )"
Leptospirosis††,2015,2,,-,,-,0,,21,,,NN,,NN,,NN,,NN,
Listeriosis,2015,2,3,,8,,12,,665,,735,,727,,870,,821,,"NY (1 ), NYC (1 ), NC (1 )"
Measles***,2015,2,,-,3,,2,,634,,187,,55,,220,,63,,
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,2,,-,,-,5,,103,,142,,161,,257,,280,,
"Meningococcal disease, invasive†††, serogroup B",2015,2,,-,1,,3,,63,,99,,110,,159,,135,,
"Meningococcal disease, invasive†††, other serogroup",2015,2,,-,,-,1,,19,,17,,20,,20,,12,,
"Meningococcal disease, invasive†††, unknown serogroup",2015,2,2,,5,,9,,223,,298,,260,,323,,406,,"MD (1 ), OR (1 )"
Novel influenza A virus infections§§§,2015,2,,-,,-,21,,3,,21,,313,,14,,4,,
Plague,2015,2,,-,,-,,-,5,,4,,4,,3,,2,,
"Poliomyelitis, paralytic",2015,2,,-,,-,,-,,-,1,,,-,,-,,-,
"Polio virus Infection, nonparalytic,††",2015,2,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis††,2015,2,,-,,-,0,,7,,6,,2,,2,,4,,
"Q fever, total††",2015,2,,-,,-,3,,142,,170,,135,,134,,131,,
"Q fever, acute††",2015,2,,-,,-,3,,115,,137,,113,,110,,106,,
"Q fever, chronic††",2015,2,,-,,-,1,,27,,33,,22,,24,,25,,
"Rabies, human",2015,2,,-,,-,0,,1,,2,,1,,6,,2,,
SARS-CoV††,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox††,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome††,2015,2,,-,3,,5,,194,,224,,194,,168,,142,,
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,2,,-,,-,7,,310,,348,,322,,360,,377,,
Toxic-shock syndrome (staphylococcal)††,2015,2,,-,,-,2,,50,,71,,65,,78,,82,,
Trichinellosis††,2015,2,,-,,-,0,,15,,22,,18,,15,,7,,
Tularemia,2015,2,,-,,-,1,,152,,203,,149,,166,,124,,
Typhoid fever,2015,2,2,,3,,8,,296,,338,,354,,390,,467,,NYC (2 )
Vancomycin-intermediate Staphylococcus aureus††,2015,2,5,,5,,3,,195,,248,,134,,82,,91,,"NYC (2 ), MO (3 )"
Vancomycin-resistant Staphylococcus aureus††,2015,2,,-,,-,0,,,-,,-,2,,,-,2,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,2,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,2,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,2,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,2,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,2,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,2,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,2,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,2,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,2,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Yellow fever,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2015,3,,-,,-,,-,,-,,-,,-,1,,,-,
"Arboviral diseases, California serogroup virus disease**,††",2015,3,,-,,-,0,,80,,95,,81,,137,,75,,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,3,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,3,,-,,-,0,,8,,8,,15,,4,,10,,
"Arboviral diseases, Powassan virus disease**,††",2015,3,,-,,-,,-,8,,12,,7,,16,,8,,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,3,,-,,-,0,,9,,1,,3,,6,,10,,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,3,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2015,3,,-,4,,2,,146,,152,,168,,153,,112,,
"Botulism, foodborne",2015,3,,-,3,,0,,11,,4,,27,,24,,7,,
"Botulism, infant",2015,3,,-,1,,2,,116,,136,,123,,97,,80,,
"Botulism, other (wound and unspecified)",2015,3,,-,,-,0,,19,,12,,18,,32,,25,,
Brucellosis,2015,3,,-,,-,1,,88,,99,,114,,79,,115,,
Chancroid,2015,3,,-,,-,0,,17,,,-,15,,8,,24,,
Cholera,2015,3,,-,,-,1,,,-,14,,17,,40,,13,,
Cyclosporiasis††,2015,3,,-,,-,1,,370,,784,,123,,151,,179,,
Diphtheria,2015,3,,-,,-,,-,1,,,-,1,,,-,,-,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,3,,-,1,,0,,29,,31,,30,,14,,23,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,3,2,,8,,5,,178,,222,,205,,145,,200,,"TN (1 ), NM (1 )"
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,3,4,,12,,5,,237,,185,,210,,226,,223,,"MD (1 ), NC (1 ), SC (1 ), OR (1 )"
Hansen disease††,2015,3,,-,,-,1,,54,,81,,82,,82,,98,,
"Hantavirus infection (non-HPS)¶,††",2015,3,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Hantavirus Pulmonary Syndrome (HPS)††,2015,3,,-,,-,0,,25,,21,,30,,23,,20,,
"Hemolytic uremic syndrome, postdiarrheal††",2015,3,4,,6,,2,,217,,329,,274,,290,,266,,"FL (1 ), LA (1 ), OR (2 )"
"Hepatitis B, virus infection perinatal",2015,3,,-,,-,1,,37,,48,,40,,,NP,,NP,
"Influenza-associated pediatric mortality**,††",2015,3,5,,35,,5,,130,,160,,52,,118,,61,,"NY (1 ), OH (1 ), IA (1 ), OK (1 ), NV (1 )"
Leptospirosis††,2015,3,,-,,-,0,,23,,,NN,,NN,,NN,,NN,
Listeriosis,2015,3,5,,14,,9,,668,,735,,727,,870,,821,,"NYC (1 ), OH (1 ), NE (1 ), OK (1 ), TX (1 )"
Measles***,2015,3,1,,9,,3,,638,,187,,55,,220,,63,,NE (1 )
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,3,,-,1,,4,,103,,142,,161,,257,,280,,
"Meningococcal disease, invasive†††, serogroup B",2015,3,,-,2,,2,,67,,99,,110,,159,,135,,
"Meningococcal disease, invasive†††, other serogroup",2015,3,,-,,-,0,,20,,17,,20,,20,,12,,
"Meningococcal disease, invasive†††, unknown serogroup",2015,3,2,,8,,8,,223,,298,,260,,323,,406,,"NC (1 ), TX (1 )"
Novel influenza A virus infections§§§,2015,3,1,,1,,24,,3,,21,,313,,14,,4,,MN (1 )
Plague,2015,3,,-,,-,,-,5,,4,,4,,3,,2,,
"Poliomyelitis, paralytic",2015,3,,-,,-,,-,,-,1,,,-,,-,,-,
Cholera,2015,13,,-,,-,0,,,-,14,,17,,40,,13,,
"Polio virus Infection, nonparalytic,††",2015,3,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis††,2015,3,,-,,-,0,,7,,6,,2,,2,,4,,
"Q fever, total††",2015,3,1,,1,,2,,146,,170,,135,,134,,131,,
"Q fever, acute††",2015,3,1,,1,,1,,119,,137,,113,,110,,106,,IN (1 )
"Q fever, chronic††",2015,3,,-,,-,0,,27,,33,,22,,24,,25,,
"Rabies, human",2015,3,,-,,-,,-,1,,2,,1,,6,,2,,
SARS-CoV††,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox††,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome††,2015,3,,-,6,,5,,202,,224,,194,,168,,142,,
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,3,,-,,-,7,,310,,348,,322,,360,,377,,
Toxic-shock syndrome (staphylococcal)††,2015,3,,-,,-,2,,51,,71,,65,,78,,82,,
Trichinellosis††,2015,3,,-,,-,0,,15,,22,,18,,15,,7,,
Tularemia,2015,3,,-,,-,0,,154,,203,,149,,166,,124,,
Typhoid fever,2015,3,1,,4,,7,,299,,338,,354,,390,,467,,MD (1 )
Vancomycin-intermediate Staphylococcus aureus††,2015,3,1,,6,,1,,195,,248,,134,,82,,91,,MD (1 )
Vancomycin-resistant Staphylococcus aureus††,2015,3,,-,,-,0,,,-,,-,2,,,-,2,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,3,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,3,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,3,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,3,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,3,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,3,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,3,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,3,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,3,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Yellow fever,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2015,4,,-,,-,,-,,-,,-,,-,1,,,-,
"Arboviral diseases, California serogroup virus disease**,††",2015,4,,-,,-,,-,83,,95,,81,,137,,75,,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,4,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,4,,-,,-,0,,8,,8,,15,,4,,10,,
"Arboviral diseases, Powassan virus disease**,††",2015,4,,-,,-,,-,8,,12,,7,,16,,8,,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,4,,-,,-,0,,9,,1,,3,,6,,10,,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,4,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2015,4,,-,6,,2,,140,,152,,168,,153,,112,,
"Botulism, foodborne",2015,4,,-,3,,0,,11,,4,,27,,24,,7,,
"Botulism, infant",2015,4,,-,3,,2,,111,,136,,123,,97,,80,,
"Botulism, other (wound and unspecified)",2015,4,,-,,-,0,,18,,12,,18,,32,,25,,
Brucellosis,2015,4,,-,,-,1,,91,,99,,114,,79,,115,,
Chancroid,2015,4,1,,1,,0,,17,,,-,15,,8,,24,,WA (1 )
Cholera,2015,4,,-,,-,1,,,-,14,,17,,40,,13,,
Cyclosporiasis††,2015,4,,-,,-,1,,372,,784,,123,,151,,179,,
Diphtheria,2015,4,,-,,-,,-,1,,,-,1,,,-,,-,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,4,,-,1,,0,,29,,31,,30,,14,,23,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,4,1,,14,,5,,179,,222,,205,,145,,200,,AR (1 )
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,4,7,,19,,5,,229,,185,,210,,226,,223,,"NY (1 ), PA (1 ), MD (1 ), NC (2 ), OK (1 ), OR (1 )"
Hansen disease††,2015,4,,-,,-,2,,55,,81,,82,,82,,98,,
"Hantavirus infection (non-HPS)¶,††",2015,4,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Hantavirus Pulmonary Syndrome (HPS)††,2015,4,,-,,-,0,,25,,21,,30,,23,,20,,
"Hemolytic uremic syndrome, postdiarrheal††",2015,4,,-,10,,2,,221,,329,,274,,290,,266,,
"Hepatitis B, virus infection perinatal",2015,4,,-,,-,1,,37,,48,,40,,,NP,,NP,
"Influenza-associated pediatric mortality**,††",2015,4,8,,43,,6,,130,,160,,52,,118,,61,,"NJ (1 ), NE (1 ), OK (2 ), TX (2 ), AZ (1 ), MA (1 )"
Leptospirosis††,2015,4,,-,,-,0,,23,,,NN,,NN,,NN,,NN,
Listeriosis,2015,4,2,,16,,8,,670,,735,,727,,870,,821,,"PA (1 ), AK (1 )"
Measles***,2015,4,12,,55,,3,,649,,187,,55,,220,,63,,"PA (1 ), NE (1 ), DC (1 ), TX (1 ), CA (8 )"
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,4,1,,3,,4,,103,,142,,161,,257,,280,,OR (1 )
"Meningococcal disease, invasive†††, serogroup B",2015,4,,-,2,,3,,67,,99,,110,,159,,135,,
"Meningococcal disease, invasive†††, other serogroup",2015,4,1,,1,,0,,20,,17,,20,,20,,12,,OH (1 )
"Meningococcal disease, invasive†††, unknown serogroup",2015,4,2,,10,,8,,214,,298,,260,,323,,406,,"OH (1 ), TN (1 )"
Novel influenza A virus infections§§§,2015,4,,-,1,,32,,3,,21,,313,,14,,4,,
Plague,2015,4,,-,,-,,-,5,,4,,4,,3,,2,,
"Poliomyelitis, paralytic",2015,4,,-,,-,,-,,-,1,,,-,,-,,-,
"Polio virus Infection, nonparalytic,††",2015,4,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis††,2015,4,,-,,-,0,,7,,6,,2,,2,,4,,
"Q fever, total††",2015,4,,-,3,,2,,145,,170,,135,,134,,131,,
"Q fever, acute††",2015,4,,-,3,,1,,116,,137,,113,,110,,106,,
"Q fever, chronic††",2015,4,,-,,-,0,,29,,33,,22,,24,,25,,
"Rabies, human",2015,4,,-,,-,,-,1,,2,,1,,6,,2,,
SARS-CoV††,2015,4,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox††,2015,4,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome††,2015,4,1,,7,,5,,204,,224,,194,,168,,142,,NC (1 )
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,4,,-,1,,7,,346,,348,,322,,360,,377,,
Toxic-shock syndrome (staphylococcal)††,2015,4,,-,2,,1,,51,,71,,65,,78,,82,,
Trichinellosis††,2015,4,,-,,-,0,,15,,22,,18,,15,,7,,
Tularemia,2015,4,,-,1,,0,,155,,203,,149,,166,,124,,
Typhoid fever,2015,4,4,,8,,7,,300,,338,,354,,390,,467,,NYC (4 )
Vancomycin-intermediate Staphylococcus aureus††,2015,4,5,,12,,2,,196,,248,,134,,82,,91,,"PA (1 ), MO (4 )"
Vancomycin-resistant Staphylococcus aureus††,2015,4,,-,,-,0,,,-,,-,2,,,-,2,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,4,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,4,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,4,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,4,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,4,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,4,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,4,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,4,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,4,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Yellow fever,2015,4,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2015,5,,-,,-,,-,,-,,-,,-,1,,,-,
"Arboviral diseases, California serogroup virus disease**,††",2015,5,,-,,-,,-,83,,95,,81,,137,,75,,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,5,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,5,,-,,-,0,,8,,8,,15,,4,,10,,
"Arboviral diseases, Powassan virus disease**,††",2015,5,,-,,-,,-,8,,12,,7,,16,,8,,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,5,,-,,-,0,,9,,1,,3,,6,,10,,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,5,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2015,5,,-,8,,2,,140,,152,,168,,153,,112,,
"Botulism, foodborne",2015,5,,-,3,,0,,11,,4,,27,,24,,7,,
"Botulism, infant",2015,5,,-,5,,2,,111,,136,,123,,97,,80,,
"Botulism, other (wound and unspecified)",2015,5,,-,,-,0,,18,,12,,18,,32,,25,,
Brucellosis,2015,5,,-,,-,1,,92,,99,,114,,79,,115,,
Chancroid,2015,5,,-,1,,0,,17,,,-,15,,8,,24,,
Cholera,2015,5,,-,,-,1,,,-,14,,17,,40,,13,,
Cyclosporiasis††,2015,5,,-,,-,1,,378,,784,,123,,151,,179,,
Diphtheria,2015,5,,-,,-,,-,1,,,-,1,,,-,,-,
