Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2016,"Cum 2016, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2015,"Total cases reported  2015, flag",Total cases reported 2014,"Total cases reported 2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",States reporting cases during current week (No.) 
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,49,,-,3,,,-,3,,,NN,,NN,,NN,,NN,
Tularemia,2016,49,2,,193,,1,,314,,180,,203,,149,,166,,MO (2 )
"Influenza-associated pediatric mortality**,***",2016,49,,-,81,,2,,130,,141,,160,,52,,118,,
Plague,2016,1,,-,,-,,-,9,,10,,4,,4,,3,,
"Poliomyelitis, paralytic",2016,1,,-,,-,,-,,-,,-,1,,,-,,-,
Measles†††,2016,2,1,,1,,6,,189,,667,,187,,55,,220,,TX (1 )
Psittacosis**,2016,1,,-,,-,0,,7,,8,,6,,2,,2,,
"Q fever, total**",2016,1,,-,,-,3,,143,,168,,170,,135,,134,,
"Q fever, acute**",2016,1,,-,,-,2,,123,,132,,137,,113,,110,,
"Q fever, chronic**",2016,1,,-,,-,0,,20,,36,,33,,22,,24,,
"Rabies, human",2016,1,,-,,-,0,,1,,1,,2,,1,,6,,
SARS-CoV,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome**,2016,1,1,,1,,5,,250,,259,,224,,194,,168,,SC (1 )
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,46,,-,2,,,-,11,,11,,22,,2,,3,,
Toxic-shock syndrome (staphylococcal)**,2016,1,1,,1,,1,,99,,59,,71,,65,,78,,MO (1 )
Trichinellosis**,2016,1,,-,,-,0,,7,,14,,22,,18,,15,,
Tularemia,2016,1,,-,,-,1,,247,,180,,203,,149,,166,,
Typhoid fever,2016,1,3,,3,,6,,322,,349,,338,,354,,390,,"NYC (2 ), FL (1 )"
Vancomycin-intermediate Staphylococcus aureus**,2016,1,,-,,-,3,,153,,212,,248,,134,,82,,
Vancomycin-resistant Staphylococcus aureus**,2016,1,,-,,-,,-,1,,,-,,-,2,,,-,
Vancomycin-intermediate Staphylococcus aureus**,2016,49,,-,92,,3,,183,,212,,248,,134,,82,,
"Meningococcal disease, invasive§§§, other serogroup",2016,41,,-,13,,0,,21,,25,,17,,20,,20,,
"Meningococcal disease, invasive§§§, serogroup ACWY",2016,45,,-,77,,3,,120,,123,,142,,161,,257,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,45,2,,158,,3,,167,,39,,34,,37,,48,,"TN (1 ), ID (1 )"
"Arboviral diseases¶,** Powassan virus ",2016,10,,-,,-,,-,6,,8,,12,,7,,16,,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,42,,-,2,,0,,6,,8,,8,,15,,4,,
"Arboviral diseases¶,** Powassan virus ",2016,18,,-,1,,0,,7,,8,,12,,7,,16,,
"Viral hemorrhagic fever††††, Sabia-associated hemorrhagic fever",2016,21,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Novel influenza A virus infections¶¶¶,2016,49,,-,22,,0,,7,,3,,21,,313,,14,,
Yellow fever,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,
"Rabies, human",2016,49,,-,,-,0,,2,,1,,2,,1,,6,,
Chancroid,2016,49,,-,9,,0,,11,,,-,,-,15,,8,,
"Syphilis, congenital****",2016,1,,-,,-,7,,346,,458,,348,,322,,360,,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,49,,-,5,,,-,6,,8,,8,,15,,4,,
"Viral hemorrhagic fever††††, Sabia-associated hemorrhagic fever",2016,49,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Hansen's disease**,2016,49,1,,40,,2,,89,,88,,81,,82,,82,,FL (1 )
Brucellosis,2016,49,4,,107,,1,,126,,92,,99,,114,,79,,"OH (1 ), OK (1 ), TX (2 )"
"Polio virus Infection, nonparalytic**",2016,1,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2016,49,,-,,-,,-,,-,1,,,-,1,,,-,
Leptospirosis**,2016,49,,-,49,,0,,40,,38,,,NN,,NN,,NN,
"Viral hemorrhagic fever††††, Crimean-Congo hemorrhagic fever",2016,49,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Zika virus††,§§§§, Zika virus congenital infection ",2016,49,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
Streptococcal toxic-shock syndrome**,2016,49,3,,209,,5,,335,,259,,224,,194,,168,,"NY (1 ), OH (1 ), TN (1 )"
"Viral hemorrhagic fever††††, Marburg fever",2016,49,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,49,,-,9,,0,,23,,10,,1,,3,,6,,
"Hepatitis B, virus infection perinatal",2016,49,2,,22,,1,,37,,47,,48,,40,,,NP,PA (2 )
Anthrax,2016,49,,-,,-,,-,,-,,-,,-,,-,1,,
Hansen's disease**,2016,1,1,,1,,2,,64,,88,,81,,82,,82,,FL (1 )
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,49,,-,4,,,-,11,,11,,22,,2,,3,,
"Q fever, acute**",2016,49,,-,101,,2,,122,,132,,137,,113,,110,,
"Q fever, total**",2016,49,,-,124,,2,,156,,168,,170,,135,,134,,
"Viral hemorrhagic fever††††, Ebola hemorrhagic fever",2016,49,,-,,-,,-,,-,4,,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus ",2016,49,,-,12,,0,,7,,8,,12,,7,,16,,
"Meningococcal disease, invasive§§§, other serogroup",2016,49,,-,13,,0,,21,,25,,17,,20,,20,,
"Q fever, total**",2016,2,,-,,-,3,,146,,168,,170,,135,,134,,
Cholera,2016,49,,-,4,,0,,5,,5,,14,,17,,40,,
Toxic-shock syndrome (staphylococcal)**,2016,2,,-,1,,1,,100,,59,,71,,65,,78,,
Cyclosporiasis**,2016,2,,-,1,,2,,609,,388,,784,,123,,151,,
"Polio virus Infection, nonparalytic**",2016,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, other (wound and unspecified)",2016,2,,-,,-,0,,19,,19,,12,,18,,32,,
"Syphilis, congenital****",2016,49,,-,399,,8,,493,,458,,348,,322,,360,,
"Syphilis, congenital****",2016,2,,-,,-,7,,354,,458,,348,,322,,360,,
"Meningococcal disease, invasive§§§, unknown serogroup",2016,49,3,,160,,4,,120,,196,,298,,260,,323,,"FL (2 ), OR (1 )"
Diphtheria,2016,2,,-,,-,,-,,-,1,,,-,1,,,-,
"Botulism, other (wound and unspecified)",2016,49,,-,21,,0,,20,,19,,12,,18,,32,,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,2,,-,1,,0,,12,,32,,21,,30,,23,,
"Viral hemorrhagic fever††††, Junin hemorrhagic fever",2016,49,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Listeriosis,2016,2,3,,6,,11,,704,,769,,735,,727,,870,,"NY (1 ), NYC (1 ), SC (1 )"
"Hemolytic uremic syndrome, postdiarrheal**",2016,2,2,,4,,3,,235,,250,,329,,274,,290,,"GA (1 ), KY (1 )"
Trichinellosis**,2016,2,,-,,-,0,,7,,14,,22,,18,,15,,
"Hepatitis B, virus infection perinatal",2016,2,1,,2,,1,,27,,47,,48,,40,,,NP,OH (1 )
Plague,2016,49,,-,,-,,-,16,,10,,4,,4,,3,,
"Botulism, foodborne",2016,49,,-,32,,1,,37,,15,,4,,27,,24,,
Psittacosis**,2016,49,,-,7,,0,,4,,8,,6,,2,,2,,
"Viral hemorrhagic fever††††, Machupo hemorrhagic fever",2016,49,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Yellow fever,2016,49,,-,,-,,-,,-,,-,,-,,-,,-,
"Poliomyelitis, paralytic",2016,49,,-,,-,,-,,-,,-,1,,,-,,-,
Psittacosis**,2016,2,,-,,-,0,,7,,8,,6,,2,,2,,
"Poliomyelitis, paralytic",2016,2,,-,,-,,-,,-,,-,1,,,-,,-,
Measles†††,2016,49,,-,60,,1,,188,,667,,187,,55,,220,,
Chancroid,2016,2,,-,,-,0,,17,,,-,,-,15,,8,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, other serotype",2016,49,,-,115,,1,,135,,266,,233,,263,,230,,
"Q fever, chronic**",2016,2,,-,,-,0,,20,,36,,33,,22,,24,,
"Botulism, infant",2016,49,,-,113,,2,,138,,127,,136,,123,,97,,
Typhoid fever,2016,2,5,,8,,7,,330,,349,,338,,354,,390,,"NYC (3 ), OH (2 )"
"Viral hemorrhagic fever††††, Lujo virus",2016,49,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, serotype b",2016,49,,-,21,,1,,29,,40,,31,,30,,14,,
Cholera,2016,2,,-,,-,1,,1,,5,,14,,17,,40,,
Vancomycin-resistant Staphylococcus aureus**,2016,49,,-,,-,0,,3,,,-,,-,2,,,-,
"Viral hemorrhagic fever††††, Lassa fever",2016,49,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Rabies, human",2016,2,,-,,-,0,,1,,1,,2,,1,,6,,
"Botulism, foodborne",2016,2,,-,,-,0,,40,,15,,4,,27,,24,,
"Q fever, acute**",2016,2,,-,,-,2,,126,,132,,137,,113,,110,,
"Botulism, total",2016,2,,-,,-,3,,182,,161,,152,,168,,153,,
Leptospirosis**,2016,2,,-,,-,0,,29,,38,,,NN,,NN,,NN,
Streptococcal toxic-shock syndrome**,2016,2,,-,2,,6,,262,,259,,224,,194,,168,,
Vancomycin-intermediate Staphylococcus aureus**,2016,2,1,,1,,3,,153,,212,,248,,134,,82,,OH (1 )
Brucellosis,2016,2,,-,,-,2,,117,,92,,99,,114,,79,,
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,49,,-,,-,,-,,-,,-,,-,,-,,-,
Tularemia,2016,2,,-,,-,1,,248,,180,,203,,149,,166,,
Plague,2016,2,,-,,-,,-,9,,10,,4,,4,,3,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,49,6,,210,,4,,167,,39,,34,,37,,48,,"FL (1 ), TN (1 ), TX (1 ), CO (1 ), OR (2 )"
Vancomycin-resistant Staphylococcus aureus**,2016,2,,-,,-,,-,1,,,-,,-,2,,,-,
SARS-CoV,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, invasive§§§, serogroup B",2016,49,1,,64,,2,,111,,89,,99,,110,,159,,NY (1 )
Anthrax,2016,2,,-,,-,,-,,-,,-,,-,,-,1,,
Hansen's disease**,2016,2,,-,1,,1,,65,,88,,81,,82,,82,,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,49,,-,13,,0,,21,,32,,21,,30,,23,,
SARS-CoV,2016,49,,-,,-,,-,,-,,-,,-,,-,,-,
Yellow fever,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, infant",2016,2,,-,,-,2,,123,,127,,136,,123,,97,,
"Meningococcal disease, invasive§§§, serogroup ACWY",2016,49,1,,87,,3,,120,,123,,142,,161,,257,,OK (1 )
Toxic-shock syndrome (staphylococcal)**,2016,49,,-,26,,1,,64,,59,,71,,65,,78,,
"Arboviral diseases¶,** Chikungunya virus††",2016,49,,-,154,,2,,896,,,NN,,NN,,NN,,NN,
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,49,1,,4542,,,-,,NN,,NN,,NN,,NN,,NN,OH (1 )
"Polio virus Infection, nonparalytic**",2016,49,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis**,2016,49,4,,475,,1,,645,,388,,784,,123,,151,,"NY (1 ), NYC (3 )"
Smallpox,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Influenza-associated pediatric mortality**,***",2016,2,,-,1,,5,,130,,141,,160,,52,,118,,
"Q fever, chronic**",2016,3,,-,,-,0,,20,,36,,33,,22,,24,,
Typhoid fever,2016,49,1,,289,,5,,367,,349,,338,,354,,390,,NY (1 )
Leptospirosis**,2016,3,,-,,-,0,,29,,38,,,NN,,NN,,NN,
"Botulism, total",2016,49,,-,166,,3,,195,,161,,152,,168,,153,,
"Botulism, foodborne",2016,3,,-,,-,0,,40,,15,,4,,27,,24,,
Trichinellosis**,2016,49,,-,15,,0,,14,,14,,22,,18,,15,,
"Botulism, other (wound and unspecified)",2016,3,,-,,-,0,,19,,19,,12,,18,,32,,
"Polio virus Infection, nonparalytic**",2016,3,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,49,,-,33,,,-,55,,80,,85,,78,,130,,
Diphtheria,2016,4,,-,,-,,-,,-,1,,,-,1,,,-,
"Hemolytic uremic syndrome, postdiarrheal**",2016,49,3,,249,,4,,274,,250,,329,,274,,290,,"FL (1 ), OK (2 )"
"Q fever, chronic**",2016,49,,-,23,,0,,34,,36,,33,,22,,24,,
Listeriosis,2016,3,4,,11,,9,,705,,769,,735,,727,,870,,"ME (1 ), OH (1 ), VA (1 ), KY (1 )"
Listeriosis,2016,49,6,,606,,13,,768,,769,,735,,727,,870,,"ME (1 ), NY (1 ), PA (1 ), MD (1 ), TN (1 ), TX (1 )"
Vancomycin-intermediate Staphylococcus aureus**,2016,3,1,,3,,2,,156,,212,,248,,134,,82,,FL (1 )
"Hemolytic uremic syndrome, postdiarrheal**",2016,3,2,,6,,2,,236,,250,,329,,274,,290,,FL (2 )
SARS-CoV,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis**,2016,3,,-,2,,1,,610,,388,,784,,123,,151,,
Anthrax,2016,3,,-,,-,,-,,-,,-,,-,,-,1,,
Brucellosis,2016,3,,-,,-,1,,117,,92,,99,,114,,79,,
"Hepatitis B, virus infection perinatal",2016,3,,-,2,,1,,27,,47,,48,,40,,,NP,
Chancroid,2016,3,,-,,-,0,,17,,,-,,-,15,,8,,
Toxic-shock syndrome (staphylococcal)**,2016,3,,-,1,,1,,101,,59,,71,,65,,78,,
"Q fever, acute**",2016,3,,-,,-,2,,127,,132,,137,,113,,110,,
Vancomycin-resistant Staphylococcus aureus**,2016,3,,-,,-,,-,1,,,-,,-,2,,,-,
Plague,2016,3,,-,,-,,-,9,,10,,4,,4,,3,,
"Poliomyelitis, paralytic",2016,3,,-,,-,,-,,-,,-,1,,,-,,-,
Diphtheria,2016,3,,-,,-,,-,,-,1,,,-,1,,,-,
Hansen's disease**,2016,3,3,,7,,1,,65,,88,,81,,82,,82,,"NYC (1 ), FL (2 )"
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,3,,-,1,,0,,12,,32,,21,,30,,23,,
Smallpox,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,
Tularemia,2016,3,1,,1,,0,,249,,180,,203,,149,,166,,RI (1 )
"Influenza-associated pediatric mortality**,***",2016,3,,-,1,,6,,130,,141,,160,,52,,118,,
Typhoid fever,2016,3,5,,13,,6,,330,,349,,338,,354,,390,,"NY (1 ), OH (1 ), FL (1 ), AZ (1 ), CA (1 )"
Trichinellosis**,2016,3,,-,,-,0,,7,,14,,22,,18,,15,,
Psittacosis**,2016,3,,-,,-,0,,7,,8,,6,,2,,2,,
Yellow fever,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,
Cholera,2016,3,,-,,-,1,,2,,5,,14,,17,,40,,
"Botulism, total",2016,3,,-,,-,3,,185,,161,,152,,168,,153,,
"Botulism, infant",2016,3,,-,,-,2,,126,,127,,136,,123,,97,,
Streptococcal toxic-shock syndrome**,2016,3,1,,6,,5,,265,,259,,224,,194,,168,,OH (1 )
"Syphilis, congenital****",2016,3,,-,1,,7,,364,,458,,348,,322,,360,,
"Rabies, human",2016,3,,-,,-,,-,1,,1,,2,,1,,6,,
"Q fever, total**",2016,3,,-,,-,2,,147,,168,,170,,135,,134,,
Vancomycin-intermediate Staphylococcus aureus**,2016,4,2,,5,,2,,163,,212,,248,,134,,82,,"NYC (1 ), SC (1 )"
Streptococcal toxic-shock syndrome**,2016,4,,-,6,,5,,264,,259,,224,,194,,168,,
Typhoid fever,2016,4,3,,18,,7,,332,,349,,338,,354,,390,,"NY (1 ), OH (1 ), NE (1 )"
"Polio virus Infection, nonparalytic**",2016,4,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis**,2016,4,,-,,-,0,,30,,38,,,NN,,NN,,NN,
"Rabies, human",2016,4,,-,,-,,-,1,,1,,2,,1,,6,,
Trichinellosis**,2016,50,,-,18,,0,,14,,14,,22,,18,,15,,
"Hemolytic uremic syndrome, postdiarrheal**",2016,50,2,,253,,5,,274,,250,,329,,274,,290,,"AL (1 ), OK (1 )"
"Arboviral diseases¶,** Powassan virus ",2016,50,,-,12,,,-,7,,8,,12,,7,,16,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2016,50,,-,131,,5,,175,,128,,141,,115,,93,,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,4,,-,1,,0,,12,,32,,21,,30,,23,,
"Botulism, total",2016,4,1,,1,,3,,186,,161,,152,,168,,153,,
"Botulism, foodborne",2016,50,,-,32,,1,,37,,15,,4,,27,,24,,
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2016,50,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Q fever, acute**",2016,4,,-,1,,2,,127,,132,,137,,113,,110,,
"Influenza-associated pediatric mortality**,***",2016,50,2,,83,,2,,130,,141,,160,,52,,118,,NM (2 )
"Poliomyelitis, paralytic",2016,4,,-,,-,,-,,-,,-,1,,,-,,-,
Tularemia,2016,50,3,,197,,2,,314,,180,,203,,149,,166,,"MO (2 ), AZ (1 )"
SARS-CoV,2016,4,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, infant",2016,4,1,,1,,2,,126,,127,,136,,123,,97,,NY (1 )
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,50,22,,4680,,,-,,NN,,NN,,NN,,NN,,NN,"RI (6 ), NY (3 ), FL (4 ), TX (9 )"
Toxic-shock syndrome (staphylococcal)**,2016,4,,-,2,,1,,100,,59,,71,,65,,78,,
"Syphilis, congenital****",2016,50,,-,408,,9,,493,,458,,348,,322,,360,,
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,50,,-,4,,,-,11,,11,,22,,2,,3,,
SARS-CoV,2016,50,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever††††, Lujo virus",2016,50,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, serogroup B",2016,50,1,,67,,3,,111,,89,,99,,110,,159,,NY (1 )
Chancroid,2016,4,,-,,-,0,,17,,,-,,-,15,,8,,
"Viral hemorrhagic fever††††, Marburg fever",2016,50,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Brucellosis,2016,4,,-,,-,1,,118,,92,,99,,114,,79,,
Yellow fever,2016,4,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, chronic**",2016,4,,-,,-,0,,20,,36,,33,,22,,24,,
Tularemia,2016,4,,-,1,,0,,250,,180,,203,,149,,166,,
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,50,,-,3,,,-,3,,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever††††, Crimean-Congo hemorrhagic fever",2016,50,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal**",2016,4,1,,8,,2,,238,,250,,329,,274,,290,,TN (1 )
"Meningococcal disease, invasive§§§, unknown serogroup",2016,50,,-,161,,4,,120,,196,,298,,260,,323,,
Cyclosporiasis**,2016,4,2,,4,,1,,610,,388,,784,,123,,151,,NYC (2 )
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,50,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, other (wound and unspecified)",2016,4,,-,,-,0,,20,,19,,12,,18,,32,,
"Q fever, total**",2016,4,,-,1,,2,,147,,168,,170,,135,,134,,
Trichinellosis**,2016,4,,-,,-,0,,7,,14,,22,,18,,15,,
Anthrax,2016,4,,-,,-,,-,,-,,-,,-,,-,1,,
Psittacosis**,2016,4,,-,,-,,-,6,,8,,6,,2,,2,,
Smallpox,2016,4,,-,,-,,-,,-,,-,,-,,-,,-,
Plague,2016,50,,-,,-,,-,16,,10,,4,,4,,3,,
"Haemophilus influenzae invasive disease (age <5 yrs)***, non typable serotype ",2016,4,,-,8,,5,,126,,128,,141,,115,,93,,
"Hepatitis B, virus infection perinatal",2016,4,1,,3,,1,,27,,47,,48,,40,,,NP,TN (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)***, other serotype",2016,4,,-,27,,8,,268,,266,,233,,263,,230,,
Novel influenza A virus infections****,2016,4,,-,1,,22,,6,,3,,21,,313,,14,,
"Haemophilus influenzae invasive disease (age <5 yrs)***, unknown serotype",2016,4,2,,6,,4,,49,,39,,34,,37,,48,,"GA (1 ), TN (1 )"
Vancomycin-resistant Staphylococcus aureus**,2016,4,,-,,-,,-,1,,,-,,-,2,,,-,
Cholera,2016,4,,-,,-,1,,2,,5,,14,,17,,40,,
Listeriosis,2016,4,2,,14,,8,,708,,769,,735,,727,,870,,"PA (1 ), OH (1 )"
"Zika virus††,§§§§, Zika virus congenital infection ",2016,50,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
"Haemophilus influenzae invasive disease (age <5 yrs)***, serotype b",2016,4,,-,1,,0,,26,,40,,31,,30,,14,,
Psittacosis**,2016,50,,-,8,,0,,4,,8,,6,,2,,2,,
Plague,2016,4,,-,,-,,-,9,,10,,4,,4,,3,,
Novel influenza A virus infections¶¶¶,2016,50,,-,22,,0,,7,,3,,21,,313,,14,,
Hansen's disease**,2016,4,1,,8,,2,,65,,88,,81,,82,,82,,FL (1 )
"Botulism, foodborne",2016,4,,-,,-,0,,40,,15,,4,,27,,24,,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,50,,-,5,,,-,6,,8,,8,,15,,4,,
Listeriosis,2016,50,12,,624,,16,,768,,769,,735,,727,,870,,"NY (2 ), NYC (1 ), PA (1 ), OH (1 ), VA (1 ), SC (2 ), FL (2 ), WA (1 ), OR (1 )"
Smallpox,2016,5,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis**,2016,50,1,,481,,2,,645,,388,,784,,123,,151,,NYC (1 )
"Viral hemorrhagic fever††††, Lassa fever",2016,50,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Q fever, total**",2016,5,1,,2,,2,,148,,168,,170,,135,,134,,
"Botulism, infant",2016,5,,-,3,,2,,127,,127,,136,,123,,97,,
Cyclosporiasis**,2016,5,,-,4,,1,,610,,388,,784,,123,,151,,
"Botulism, other (wound and unspecified)",2016,5,,-,,-,0,,20,,19,,12,,18,,32,,
Toxic-shock syndrome (staphylococcal)**,2016,5,,-,2,,1,,100,,59,,71,,65,,78,,
Vancomycin-resistant Staphylococcus aureus**,2016,5,,-,,-,,-,1,,,-,,-,2,,,-,
Vancomycin-intermediate Staphylococcus aureus**,2016,5,1,,6,,2,,163,,212,,248,,134,,82,,OH (1 )
Diphtheria,2016,50,,-,,-,,-,,-,1,,,-,1,,,-,
Chancroid,2016,5,,-,,-,0,,16,,,-,,-,15,,8,,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,5,,-,1,,0,,12,,32,,21,,30,,23,,
"Hemolytic uremic syndrome, postdiarrheal**",2016,5,,-,9,,2,,237,,250,,329,,274,,290,,
Yellow fever,2016,50,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis**,2016,5,,-,,-,,-,6,,8,,6,,2,,2,,
"Q fever, acute**",2016,50,,-,104,,3,,122,,132,,137,,113,,110,,
