Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2018,"Cum 2018, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported for pervious years  2017,"Total cases reported for pervious years 2017, flag",Total cases reported for pervious years 2016,"Total cases reported for pervious years 2016, flag",Total cases reported for pervious years 2015,"Total cases reported for pervious years 2015, flag",Total cases reported for pervious years 2014,"Total cases reported for pervious years 2014, flag",Total cases reported for pervious years 2013,"Total cases reported for pervious years 2013, flag",States reporting cases during current week (No.) 
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,1,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Ebola virus ",2018,1,,-,,-,,-,,-,,-,,-,4,,,NP,
"Viral hemorrhagic fevers***, Guanarito virus",2018,1,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Junin virus",2018,1,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Lassa virus",2018,1,,-,,-,,-,,-,,-,1,,1,,,NP,
"Viral hemorrhagic fevers***, Lujo virus",2018,1,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Machupo virus",2018,1,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fever***, Marburg virus",2018,1,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fever***, Sabia virus",2018,1,,-,,-,,-,,-,,-,,-,,NP,,NP,
Yellow fever,2018,1,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,2,,-,,-,0,,,-,6,,3,,,NN,,NN,
Smallpox,2018,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, Unknown serogroup",2018,2,5,,7,,5,,187,,142,,120,,196,,298,,"OH (1 ), MD (2 ), FL (1 ), OR (1 )"
Diphtheria,2018,2,,-,,-,,-,,-,,-,,-,1,,,-,
Vancomycin-resistant Staphylococcus aureus¶,2018,2,,-,,-,,-,,-,,-,3,,,-,,-,
"Viral hemorrhagic fevers***, Ebola virus ",2018,2,,-,,-,,-,,-,,-,,-,4,,,NP,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever***, Sabia virus",2018,2,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,2,,-,,-,0,,67,,15,,11,,11,,22,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,2,,-,,-,1,,23,,40,,64,,59,,71,,
Typhoid fever ,2018,2,4,,6,,7,,298,,376,,367,,349,,338,,"NYC (2 ), OH (2 )"
"Q fever¶, total",2018,2,,-,,-,3,,133,,164,,156,,168,,170,,
Hansen's disease¶,2018,2,,-,1,,2,,58,,78,,89,,88,,81,,
"Botulism, foodborne",2018,2,,-,,-,0,,18,,31,,37,,15,,4,,
"Viral hemorrhagic fevers***, Machupo virus",2018,2,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Lassa virus",2018,2,,-,,-,,-,,-,,-,1,,1,,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,2,,-,,-,0,,3,,7,,6,,8,,8,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,2,7,,9,,5,,245,,187,,167,,39,,34,,"NYC (1 ), PA (1 ), OH (1 ), FL (3 ), AZ (1 )"
Chancroid,2018,2,,-,,-,0,,8,,11,,11,,,-,,-,
"Botulism, infant",2018,2,,-,2,,3,,101,,144,,138,,127,,136,,
Cholera,2018,2,,-,,-,0,,4,,15,,5,,5,,14,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,2,2,,4,,5,,127,,196,,175,,128,,141,,"ME (1 ), OH (1 )"
"Botulism, total",2018,2,,-,2,,3,,133,,201,,195,,161,,152,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,2,,-,,-,6,,116,,247,,896,,,NN,,NN,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,2,1,,1,,3,,285,,307,,274,,250,,329,,AZ (1 )
"Rabies, human",2018,2,,-,,-,,-,2,,,-,2,,1,,2,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,2,,-,,-,,-,9,,8,,23,,10,,1,,
Yellow fever,2018,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Lujo virus",2018,2,,-,,-,,-,,-,,-,,-,,NP,,NP,
Plague,2018,2,,-,,-,,-,1,,4,,16,,10,,4,,
"Polio virus Infection, nonparalytic¶",2018,2,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-intermediate Staphylococcus aureus¶,2018,2,,-,1,,3,,93,,108,,183,,212,,248,,
"Hepatitis B, perinatal infection",2018,2,,-,,-,1,,19,,34,,37,,47,,48,,
"Viral hemorrhagic fever***, Marburg virus",2018,2,,-,,-,,-,,-,,-,,-,,NP,,NP,
Listeriosis,2018,2,4,,8,,12,,744,,786,,768,,769,,735,,"NY (2 ), PA (1 ), FL (1 )"
"Meningococcal disease, Serogroup B",2018,2,,-,1,,3,,67,,86,,111,,89,,99,,
"Q fever¶, acute",2018,2,,-,,-,2,,102,,132,,122,,132,,137,,
Streptococcal toxic-shock syndrome¶,2018,2,1,,1,,7,,298,,283,,335,,259,,224,,OH (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,2,,-,,-,0,,31,,22,,7,,8,,12,,
Brucellosis,2018,2,,-,,-,2,,119,,127,,126,,92,,99,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,2,,-,,-,1,,24,,30,,29,,40,,31,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,2,,-,,-,,-,,-,,-,,-,,NP,,NP,
Brucellosis,2018,4,,-,1,,1,,121,,127,,126,,92,,99,,
"Meningococcal disease, Serogroups ACWY",2018,2,,-,,-,3,,69,,126,,120,,123,,142,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,2,,-,1,,2,,145,,159,,135,,266,,233,,
Anthrax,2018,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,2,,-,,-,,-,47,,35,,55,,80,,85,,
Measles††,2018,2,,-,,-,7,,122,,85,,188,,667,,187,,
Leptospirosis¶,2018,2,,-,,-,1,,50,,78,,40,,38,,,NN,
"Q fever¶, chronic",2018,2,,-,,-,1,,31,,32,,34,,36,,33,,
Hantavirus pulmonary syndrome¶ ,2018,2,,-,,-,0,,8,,31,,21,,32,,21,,
"Viral hemorrhagic fevers***, Junin virus",2018,2,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Syphilis, congenital",2018,2,,-,,-,10,,623,,633,,493,,458,,348,,
Cyclosporiasis¶,2018,2,1,,1,,2,,1077,,535,,645,,388,,784,,NE (1 )
"Meningococcal disease, Other serogroups",2018,2,,-,,-,1,,15,,21,,21,,25,,17,,
Paratyphoid fever¶¶,2018,2,,-,,-,,NA,,NA,,NA,,NA,,NA,,NA,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,2,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, other (wound and unspecified)",2018,2,,-,,-,0,,14,,26,,20,,19,,12,,
"Influenza-associated pediatric mortality¶,**",2018,2,10,,17,,5,,127,,82,,130,,141,,160,,"NY (1 ), OH (2 ), TX (3 ), NV (2 ), OR (1 ), CA (1 )"
Trichinellosis¶,2018,2,,-,,-,0,,8,,26,,14,,14,,22,,
Tularemia,2018,2,,-,1,,2,,225,,230,,314,,180,,203,,
Psittacosis¶,2018,2,,-,,-,0,,5,,12,,4,,8,,6,,
Novel Influenza A virus infections§§,2018,2,,-,,-,0,,67,,23,,7,,3,,21,,
"Poliomyelitis, paralytic",2018,2,,-,,-,,-,,-,,-,,-,,-,1,,
Tularemia,2018,3,1,,2,,0,,225,,230,,314,,180,,203,,MO (1 )
"Meningococcal disease, Serogroups ACWY",2018,3,,-,1,,2,,70,,126,,120,,123,,142,,
"Meningococcal disease, Other serogroups",2018,3,,-,,-,1,,16,,21,,21,,25,,17,,
"Viral hemorrhagic fevers***, Lujo virus",2018,3,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,3,,-,2,,2,,146,,159,,135,,266,,233,,
Hansen's disease¶,2018,3,,-,1,,2,,67,,78,,89,,88,,81,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,3,,-,,-,,-,31,,22,,7,,8,,12,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,3,,-,2,,2,,93,,108,,183,,212,,248,,
"Viral hemorrhagic fevers***, Machupo virus",2018,3,,-,,-,,-,,-,,-,,-,,NP,,NP,
Anthrax,2018,3,,-,,-,,-,,-,,-,,-,,-,,-,
Measles††,2018,3,1,,1,,7,,122,,85,,188,,667,,187,,AR (1 )
Smallpox,2018,3,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, infant",2018,3,,-,4,,3,,102,,144,,138,,127,,136,,
"Viral hemorrhagic fevers***, Ebola virus ",2018,3,,-,,-,,-,,-,,-,,-,4,,,NP,
Novel Influenza A virus infections§§,2018,3,,-,,-,0,,67,,23,,7,,3,,21,,
"Botulism, total",2018,3,,-,4,,3,,134,,201,,195,,161,,152,,
Typhoid fever ,2018,3,,-,11,,6,,303,,376,,367,,349,,338,,
"Q fever¶, acute",2018,3,1,,2,,1,,102,,132,,122,,132,,137,,NE (1 )
Brucellosis,2018,3,,-,,-,1,,120,,127,,126,,92,,99,,
"Meningococcal disease, Unknown serogroup",2018,3,5,,12,,5,,189,,142,,120,,196,,298,,"OH (1 ), MO (1 ), AZ (2 ), OR (1 )"
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,3,,-,1,,7,,116,,247,,896,,,NN,,NN,
"Viral hemorrhagic fevers***, Guanarito virus",2018,3,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever¶, total",2018,3,1,,2,,2,,133,,164,,156,,168,,170,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,3,,-,,-,,-,,-,6,,3,,,NN,,NN,
Toxic-shock syndrome (other than Streptococcal)¶,2018,3,,-,,-,1,,23,,40,,64,,59,,71,,
"Syphilis, congenital",2018,3,,-,4,,10,,635,,633,,493,,458,,348,,
Trichinellosis¶,2018,3,,-,,-,,-,8,,26,,14,,14,,22,,
Streptococcal toxic-shock syndrome¶,2018,3,1,,4,,6,,303,,283,,335,,259,,224,,VA (1 )
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,3,2,,14,,5,,247,,187,,167,,39,,34,,"NY (1 ), PA (1 )"
"Viral hemorrhagic fevers***, Junin virus",2018,3,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Lassa virus",2018,3,,-,,-,,-,,-,,-,1,,1,,,NP,
Listeriosis,2018,4,2,,15,,9,,769,,786,,768,,769,,735,,"MD (1 ), FL (1 )"
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,3,,-,,-,0,,9,,8,,23,,10,,1,,
Leptospirosis¶,2018,3,,-,,-,1,,51,,78,,40,,38,,,NN,
Cyclosporiasis¶,2018,3,,-,1,,1,,1084,,535,,645,,388,,784,,
Plague,2018,3,,-,,-,,-,1,,4,,16,,10,,4,,
"Polio virus Infection, nonparalytic¶",2018,3,,-,,-,,-,,-,,-,,-,,-,,-,
Chancroid,2018,3,,-,,-,0,,8,,11,,11,,,-,,-,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,3,,-,,-,,-,,-,,-,,-,,-,,-,
Yellow fever,2018,3,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,3,,-,5,,5,,127,,196,,175,,128,,141,,
Diphtheria,2018,3,,-,,-,,-,,-,,-,,-,1,,,-,
Listeriosis,2018,3,2,,12,,9,,750,,786,,768,,769,,735,,"NYC (1 ), OR (1 )"
"Botulism, foodborne",2018,3,,-,,-,0,,18,,31,,37,,15,,4,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,3,,-,,-,0,,67,,15,,11,,11,,22,,
"Poliomyelitis, paralytic",2018,3,,-,,-,,-,,-,,-,,-,,-,1,,
"Influenza-associated pediatric mortality¶,**",2018,3,7,,24,,6,,110,,82,,130,,141,,160,,"FL (1 ), AR (1 ), CO (1 ), AZ (2 ), CA (2 )"
"Rabies, human",2018,3,,-,,-,,-,2,,,-,2,,1,,2,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,3,,-,,-,0,,3,,7,,6,,8,,8,,
Hantavirus pulmonary syndrome¶ ,2018,3,,-,,-,0,,8,,31,,21,,32,,21,,
"Viral hemorrhagic fever***, Marburg virus",2018,3,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Hepatitis B, perinatal infection",2018,3,,-,,-,1,,19,,34,,37,,47,,48,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,3,,-,,-,,-,,-,,-,,-,,-,,-,
Cholera,2018,3,,-,,-,0,,4,,15,,5,,5,,14,,
Paratyphoid fever¶¶,2018,3,1,,1,,,NA,,NA,,NA,,NA,,NA,,NA,NYC (1 )
"Botulism, other (wound and unspecified)",2018,3,,-,,-,0,,14,,26,,20,,19,,12,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,3,,-,,-,0,,24,,30,,29,,40,,31,,
Vancomycin-resistant Staphylococcus aureus¶,2018,3,,-,,-,,-,,-,,-,3,,,-,,-,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,3,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,3,,-,1,,3,,286,,307,,274,,250,,329,,
Psittacosis¶,2018,3,,-,,-,0,,5,,12,,4,,8,,6,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,3,,-,,-,,-,47,,35,,55,,80,,85,,
"Viral hemorrhagic fever***, Sabia virus",2018,3,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Serogroup B",2018,3,,-,2,,2,,67,,86,,111,,89,,99,,
"Q fever¶, chronic",2018,3,,-,,-,0,,31,,32,,34,,36,,33,,
Anthrax,2018,4,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, Serogroup B",2018,4,,-,2,,3,,68,,86,,111,,89,,99,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,4,,-,,-,0,,3,,7,,6,,8,,8,,
"Hepatitis B, perinatal infection",2018,4,,-,,-,1,,19,,34,,37,,47,,48,,
"Meningococcal disease, Serogroups ACWY",2018,4,1,,6,,2,,72,,126,,120,,123,,142,,VA (1 )
Diphtheria,2018,4,,-,,-,,-,,-,,-,,-,1,,,-,
Cyclosporiasis¶,2018,4,,-,1,,1,,1092,,535,,645,,388,,784,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,4,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, infant",2018,4,,-,5,,3,,103,,144,,138,,127,,136,,
"Viral hemorrhagic fever***, Marburg virus",2018,4,,-,,-,,-,,-,,-,,-,,NP,,NP,
Vancomycin-intermediate Staphylococcus aureus¶,2018,4,1,,3,,3,,91,,108,,183,,212,,248,,TN (1 )
Cholera,2018,4,,-,,-,0,,4,,15,,5,,5,,14,,
"Q fever¶, acute",2018,4,,-,2,,1,,102,,132,,122,,132,,137,,
Leptospirosis¶,2018,4,1,,1,,1,,52,,78,,40,,38,,,NN,PA (1 )
"Viral hemorrhagic fevers***, Junin virus",2018,4,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Polio virus Infection, nonparalytic¶",2018,4,,-,,-,,-,,-,,-,,-,,-,,-,
Yellow fever,2018,4,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,4,,-,3,,2,,146,,159,,135,,266,,233,,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,4,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever***, Sabia virus",2018,4,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,4,,-,,-,,-,31,,22,,7,,8,,12,,
"Botulism, foodborne",2018,4,,-,,-,0,,18,,31,,37,,15,,4,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,4,,-,,-,,-,47,,35,,55,,80,,85,,
"Meningococcal disease, Unknown serogroup",2018,4,1,,13,,5,,188,,142,,120,,196,,298,,FL (1 )
Paratyphoid fever¶¶,2018,4,,-,1,,,NA,,NA,,NA,,NA,,NA,,NA,
"Viral hemorrhagic fevers***, Lujo virus",2018,4,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,4,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,4,,-,2,,5,,116,,247,,896,,,NN,,NN,
Trichinellosis¶,2018,4,,-,,-,,-,8,,26,,14,,14,,22,,
"Rabies, human",2018,4,,-,,-,,-,2,,,-,2,,1,,2,,
"Botulism, other (wound and unspecified)",2018,4,,-,,-,0,,14,,26,,20,,19,,12,,
Chancroid,2018,4,,-,,-,0,,8,,11,,11,,,-,,-,
"Q fever¶, chronic",2018,4,,-,,-,0,,31,,32,,34,,36,,33,,
"Viral hemorrhagic fevers***, Lassa virus",2018,4,,-,,-,,-,,-,,-,1,,1,,,NP,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,4,,-,,-,,-,,-,6,,3,,,NN,,NN,
"Q fever¶, total",2018,4,,-,2,,2,,133,,164,,156,,168,,170,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,4,,-,,-,1,,23,,40,,64,,59,,71,,
"Viral hemorrhagic fevers***, Ebola virus ",2018,4,,-,,-,,-,,-,,-,,-,4,,,NP,
Novel Influenza A virus infections§§,2018,4,,-,,-,0,,67,,23,,7,,3,,21,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,4,1,,8,,5,,132,,196,,175,,128,,141,,WA (1 )
Hansen's disease¶,2018,4,,-,1,,2,,67,,78,,89,,88,,81,,
"Meningococcal disease, Other serogroups",2018,4,,-,,-,1,,19,,21,,21,,25,,17,,
Measles††,2018,4,6,,7,,7,,122,,85,,188,,667,,187,,TX (6 )
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,4,,-,1,,0,,25,,30,,29,,40,,31,,
"Syphilis, congenital",2018,4,,-,12,,11,,668,,633,,493,,458,,348,,
"Botulism, total",2018,4,,-,5,,3,,135,,201,,195,,161,,152,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,4,,-,,-,0,,9,,8,,23,,10,,1,,
Smallpox,2018,4,,-,,-,,-,,-,,-,,-,,-,,-,
Plague,2018,4,,-,,-,,-,1,,4,,16,,10,,4,,
Streptococcal toxic-shock syndrome¶,2018,4,3,,9,,6,,303,,283,,335,,259,,224,,VT (3 )
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,4,3,,20,,5,,250,,187,,167,,39,,34,,"NYC (1 ), OK (1 ), OR (1 )"
"Poliomyelitis, paralytic",2018,4,,-,,-,,-,,-,,-,,-,,-,1,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,4,,-,,-,0,,66,,15,,11,,11,,22,,
Psittacosis¶,2018,4,,-,,-,0,,5,,12,,4,,8,,6,,
Vancomycin-resistant Staphylococcus aureus¶,2018,4,,-,,-,,-,,-,,-,3,,,-,,-,
Tularemia,2018,4,,-,1,,0,,225,,230,,314,,180,,203,,
"Viral hemorrhagic fevers***, Machupo virus",2018,4,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,4,,-,,-,,-,,-,,-,,-,,-,,-,
Hantavirus pulmonary syndrome¶ ,2018,4,,-,,-,0,,9,,31,,21,,32,,21,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,4,1,,2,,3,,287,,307,,274,,250,,329,,OH (1 )
"Influenza-associated pediatric mortality¶,**",2018,4,17,,41,,6,,110,,82,,130,,141,,160,,"CT (2 ), OH (1 ), IN (1 ), IL (1 ), NE (1 ), WV (1 ), FL (2 ), KY (3 ), TN (1 ), AR (1 ), TX (1 ), CA (1 ), MS (1 )"
Typhoid fever ,2018,4,2,,15,,7,,310,,376,,367,,349,,338,,NYC (2 )
"Meningococcal disease, Unknown serogroup",2018,5,3,,16,,5,,187,,142,,120,,196,,298,,"NY (1 ), NYC (1 ), FL (1 )"
