Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2014,"Cum 2014, flag",5-year weekly average†,"5-year weekly average†, flag",Total cases reported  2013,"Total cases reported  2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",Total cases reported 2009,"Total cases reported 2009, flag",States reporting cases during current week (No.) 
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,1,1,,1,,6,,115,,161,,257,,280,,301,,NC (1 )
"Meningococcal disease, invasive¶¶, serogroup B",2014,1,,-,,-,2,,68,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,1,,-,,-,1,,12,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,1,8,,8,,10,,310,,260,,323,,406,,482,,"NC (1 ), FL (3 ), TN (1 ), OR (2 ), CA (1 )"
Novel influenza A virus infections***,2014,1,,-,,-,32,,21,,313,,14,,4,,43774,,
Plague,2014,1,,-,,-,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,1,,-,,-,0,,,-,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,1,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,1,,-,,-,0,,5,,2,,2,,4,,9,,
"Q fever, total§",2014,1,,-,,-,3,,144,,135,,134,,131,,113,,
"Q fever, acute",2014,1,,-,,-,2,,112,,113,,110,,106,,93,,
"Q fever, chronic",2014,1,,-,,-,1,,32,,22,,24,,25,,20,,
"Rabies, human",2014,1,,-,,-,0,,,-,1,,6,,2,,4,,
Rubella†††,2014,1,1,,1,,,-,9,,9,,4,,5,,3,,UT (1 )
"Rubella, congenital syndrome",2014,1,,-,,-,,-,,-,3,,,-,,-,2,,
SARS-CoV§,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,1,2,,2,,4,,134,,194,,168,,142,,161,,"ME (1 ), NC (1 )"
"Syphilis, congenital (age <1 yr)§§§",2014,1,,-,,-,6,,181,,322,,360,,377,,423,,
Tetanus,2014,1,1,,1,,1,,19,,37,,36,,26,,18,,CA (1 )
Toxic-shock syndrome (staphylococcal)§,2014,1,,-,,-,2,,63,,65,,78,,82,,74,,
Trichinellosis,2014,1,,-,,-,0,,19,,18,,15,,7,,13,,
Tularemia,2014,1,,-,,-,1,,190,,149,,166,,124,,93,,
Typhoid fever,2014,1,,-,,-,9,,300,,354,,390,,467,,397,,
Vancomycin-intermediate Staphylococcus aureus§,2014,1,1,,1,,2,,176,,134,,82,,91,,78,,NC (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,1,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,1,,-,,-,12,,1120,,1111,,832,,846,,789,,
Viral hemorrhagic fever¶¶¶,2014,1,,-,,-,0,,,-,,-,,-,1,,,NN,
Yellow fever,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,2,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,2,,-,,-,,-,81,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,2,,-,,-,0,,6,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,2,,-,,-,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,2,,-,,-,,-,,-,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,2,,-,1,,2,,135,,168,,153,,112,,118,,
"Botulism, foodborne",2014,2,,-,,-,0,,5,,27,,24,,7,,10,,
"Botulism, infant",2014,2,,-,,-,2,,119,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,2,,-,1,,0,,11,,18,,32,,25,,25,,
Brucellosis,2014,2,,-,,-,2,,95,,114,,79,,115,,115,,
Chancroid,2014,2,,-,,-,0,,11,,15,,8,,24,,28,,
Cholera,2014,2,,-,,-,1,,2,,17,,40,,13,,10,,
Cyclosporiasis§,2014,2,,-,,-,3,,663,,123,,151,,179,,141,,
Diphtheria,2014,2,,-,,-,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,2,,-,,-,0,,20,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,2,2,,2,,5,,179,,205,,145,,200,,236,,OH (2 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,2,5,,11,,6,,212,,210,,226,,223,,178,,"MO (1 ), NC (1 ), GA (1 ), FL (1 ), TN (1 )"
Hansen disease§,2014,2,,-,,-,2,,52,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,2,,-,,-,0,,13,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,2,1,,1,,4,,227,,274,,290,,266,,242,,CA (1 )
"Hepatitis B, virus infection perinatal",2014,2,,-,,-,2,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,2,10,,11,,3,,164,,52,,118,,61,,358,,"MA (1 ), KY (1 ), TN (3 ), LA (1 ), OK (1 ), TX (3 )"
Leptospirosis,2014,2,,-,,-,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,2,10,,15,,14,,655,,727,,870,,821,,851,,"MO (1 ), NC (1 ), FL (3 ), CA (5 )"
Measles§§,2014,2,,-,1,,2,,186,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,2,1,,3,,5,,115,,161,,257,,280,,301,,OR (1 )
"Meningococcal disease, invasive¶¶, serogroup B",2014,2,,-,1,,3,,72,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,2,,-,,-,0,,12,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,2,3,,11,,10,,310,,260,,323,,406,,482,,"VA (1 ), OR (2 )"
Novel influenza A virus infections***,2014,2,,-,,-,32,,21,,313,,14,,4,,43774,,
Plague,2014,2,,-,,-,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,2,,-,,-,0,,,-,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,2,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,2,,-,,-,0,,5,,2,,2,,4,,9,,
"Q fever, total§",2014,2,,-,,-,3,,144,,135,,134,,131,,113,,
"Q fever, acute",2014,2,,-,,-,2,,112,,113,,110,,106,,93,,
"Q fever, chronic",2014,2,,-,,-,1,,32,,22,,24,,25,,20,,
"Rabies, human",2014,2,,-,,-,0,,,-,1,,6,,2,,4,,
Rubella†††,2014,2,,-,1,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,2,,-,,-,,-,,-,3,,,-,,-,2,,
SARS-CoV§,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,2,,-,3,,4,,135,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,2,,-,,-,7,,185,,322,,360,,377,,423,,
Tetanus,2014,2,,-,1,,1,,20,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,2,,-,1,,2,,61,,65,,78,,82,,74,,
Trichinellosis,2014,2,,-,,-,0,,19,,18,,15,,7,,13,,
Tularemia,2014,2,,-,,-,1,,193,,149,,166,,124,,93,,
Typhoid fever,2014,2,1,,2,,9,,302,,354,,390,,467,,397,,MA (1 )
Vancomycin-intermediate Staphylococcus aureus§,2014,2,1,,2,,2,,177,,134,,82,,91,,78,,FL (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,2,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,2,2,,2,,10,,1124,,1111,,832,,846,,789,,"SC (1 ), TX (1 )"
Viral hemorrhagic fever¶¶¶,2014,2,,-,,-,0,,,-,,-,,-,1,,,NN,
Yellow fever,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,3,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,3,,-,,-,,-,81,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,3,,-,,-,0,,6,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,3,,-,,-,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,3,,-,,-,,-,,-,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,3,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,3,,-,2,,2,,136,,168,,153,,112,,118,,
"Botulism, foodborne",2014,3,,-,,-,0,,5,,27,,24,,7,,10,,
"Botulism, infant",2014,3,,-,1,,1,,119,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,3,,-,1,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,3,1,,1,,1,,93,,114,,79,,115,,115,,FL (1 )
Chancroid,2014,3,,-,,-,0,,11,,15,,8,,24,,28,,
Smallpox§,2014,14,,-,,-,,-,,-,,-,,-,,-,,-,
Cholera,2014,3,,-,,-,1,,2,,17,,40,,13,,10,,
Cyclosporiasis§,2014,3,,-,,-,3,,664,,123,,151,,179,,141,,
Diphtheria,2014,3,,-,,-,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,3,,-,,-,1,,21,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,3,,-,3,,5,,179,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,3,3,,18,,5,,210,,210,,226,,223,,178,,"NC (1 ), FL (1 ), AL (1 )"
Hansen disease§,2014,3,,-,,-,2,,52,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,3,,-,,-,0,,13,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,3,,-,1,,2,,226,,274,,290,,266,,242,,
"Hepatitis B, virus infection perinatal",2014,3,,-,,-,1,,49,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,3,8,,19,,4,,164,,52,,118,,61,,358,,"IA (1 ), VA (1 ), NC (1 ), TN (1 ), TX (2 ), CA (2 )"
Leptospirosis,2014,3,,-,,-,,-,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,3,4,,23,,11,,640,,727,,870,,821,,851,,"NY (2 ), NC (1 ), FL (1 )"
Measles§§,2014,3,4,,6,,2,,186,,55,,220,,63,,71,,OR (4 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,3,,-,6,,4,,115,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,3,,-,1,,2,,72,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,3,,-,,-,0,,14,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,3,2,,11,,9,,309,,260,,323,,406,,482,,"MD (1 ), CA (1 )"
Novel influenza A virus infections***,2014,3,,-,,-,25,,21,,313,,14,,4,,43774,,
Plague,2014,3,,-,,-,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,3,,-,,-,,-,,-,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,3,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,3,,-,,-,0,,5,,2,,2,,4,,9,,
"Q fever, total§",2014,3,,-,1,,1,,144,,135,,134,,131,,113,,
"Q fever, acute",2014,3,,-,1,,1,,112,,113,,110,,106,,93,,
"Q fever, chronic",2014,3,,-,,-,0,,32,,22,,24,,25,,20,,
"Rabies, human",2014,3,,-,,-,,-,,-,1,,6,,2,,4,,
Rubella†††,2014,3,,-,1,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,3,,-,,-,0,,,-,3,,,-,,-,2,,
SARS-CoV§,2014,3,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,3,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,3,1,,4,,3,,135,,194,,168,,142,,161,,ME (1 )
"Syphilis, congenital (age <1 yr)§§§",2014,3,,-,1,,7,,184,,322,,360,,377,,423,,
Tetanus,2014,3,1,,1,,0,,20,,37,,36,,26,,18,,FL (1 )
Toxic-shock syndrome (staphylococcal)§,2014,3,,-,1,,2,,59,,65,,78,,82,,74,,
Trichinellosis,2014,3,,-,,-,0,,19,,18,,15,,7,,13,,
Tularemia,2014,3,,-,,-,0,,193,,149,,166,,124,,93,,
Typhoid fever,2014,3,,-,2,,8,,302,,354,,390,,467,,397,,
Vancomycin-intermediate Staphylococcus aureus§,2014,3,,-,3,,1,,178,,134,,82,,91,,78,,
Vancomycin-resistant Staphylococcus aureus§,2014,3,,-,,-,,-,,-,2,,,-,2,,1,,
"Q fever, chronic",2014,4,,-,,-,0,,34,,22,,24,,25,,20,,
Vibriosis (noncholera Vibrio species infections)§,2014,3,4,,7,,7,,1100,,1111,,832,,846,,789,,"NC (2 ), SC (1 ), FL (1 )"
Viral hemorrhagic fever¶¶¶,2014,3,,-,,-,0,,,-,,-,,-,1,,,NN,
Yellow fever,2014,3,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,4,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,4,,-,,-,0,,81,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,4,,-,,-,0,,6,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,4,,-,,-,,-,13,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,4,,-,,-,,-,,-,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,4,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,4,,-,5,,2,,140,,168,,153,,112,,118,,
"Botulism, foodborne",2014,4,,-,,-,0,,5,,27,,24,,7,,10,,
"Botulism, infant",2014,4,,-,3,,1,,122,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,4,,-,2,,0,,13,,18,,32,,25,,25,,
Brucellosis,2014,4,2,,5,,1,,95,,114,,79,,115,,115,,"MD (1 ), CA (1 )"
Chancroid,2014,4,,-,,-,0,,11,,15,,8,,24,,28,,
Cholera,2014,4,,-,,-,1,,2,,17,,40,,13,,10,,
Cyclosporiasis§,2014,4,,-,,-,2,,664,,123,,151,,179,,141,,
Diphtheria,2014,4,,-,,-,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,4,,-,1,,0,,22,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,4,2,,10,,5,,179,,205,,145,,200,,236,,"OH (1 ), MI (1 )"
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,4,,-,18,,5,,211,,210,,226,,223,,178,,
Hansen disease§,2014,4,,-,,-,2,,52,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,4,,-,,-,0,,13,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,4,1,,2,,2,,226,,274,,290,,266,,242,,FL (1 )
"Hepatitis B, virus infection perinatal",2014,4,2,,2,,1,,50,,40,,,U,,U,,U,"NC (1 ), FL (1 )"
"Influenza-associated pediatric mortality§,††",2014,4,9,,28,,4,,164,,52,,118,,61,,358,,"NYC (1 ), FL (2 ), LA (1 ), OK (1 ), TX (2 ), UT (1 ), CA (1 )"
Leptospirosis,2014,4,,-,,-,,-,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,4,4,,31,,9,,648,,727,,870,,821,,851,,"NY (1 ), PA (1 ), OR (1 ), CA (1 )"
Measles§§,2014,4,,-,6,,2,,187,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,4,3,,11,,4,,116,,161,,257,,280,,301,,WA (3 )
"Meningococcal disease, invasive¶¶, serogroup B",2014,4,,-,1,,2,,76,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,4,,-,2,,0,,14,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,4,3,,16,,9,,310,,260,,323,,406,,482,,"NY (1 ), FL (1 ), TX (1 )"
Novel influenza A virus infections***,2014,4,,-,,-,34,,21,,313,,14,,4,,43774,,
Plague,2014,4,,-,,-,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,4,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,4,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,4,,-,,-,0,,7,,2,,2,,4,,9,,
"Q fever, total§",2014,4,1,,2,,1,,147,,135,,134,,131,,113,,
"Q fever, acute",2014,4,1,,2,,1,,113,,113,,110,,106,,93,,PA (1 )
"Rabies, human",2014,4,,-,,-,,-,,-,1,,6,,2,,4,,
Rubella†††,2014,4,,-,,-,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,4,,-,,-,0,,,-,3,,,-,,-,2,,
SARS-CoV§,2014,4,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,4,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,4,,-,4,,4,,135,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,4,,-,1,,7,,187,,322,,360,,377,,423,,
Tetanus,2014,4,,-,1,,0,,20,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,4,1,,2,,1,,62,,65,,78,,82,,74,,PA (1 )
Trichinellosis,2014,4,,-,,-,0,,19,,18,,15,,7,,13,,
Tularemia,2014,4,,-,,-,0,,194,,149,,166,,124,,93,,
Typhoid fever,2014,4,1,,4,,8,,302,,354,,390,,467,,397,,MD (1 )
Vancomycin-intermediate Staphylococcus aureus§,2014,4,3,,10,,2,,210,,134,,82,,91,,78,,"NY (2 ), MO (1 )"
Vancomycin-resistant Staphylococcus aureus§,2014,4,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,4,2,,10,,4,,1102,,1111,,832,,846,,789,,"FL (1 ), CA (1 )"
Viral hemorrhagic fever¶¶¶,2014,4,,-,,-,0,,,-,,-,,-,1,,,NN,
Yellow fever,2014,4,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,5,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,5,,-,,-,0,,83,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,5,,-,,-,0,,6,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,5,,-,,-,,-,13,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,5,,-,,-,,-,,-,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,5,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,5,,-,6,,2,,141,,168,,153,,112,,118,,
"Botulism, foodborne",2014,5,,-,,-,0,,5,,27,,24,,7,,10,,
"Botulism, infant",2014,5,,-,4,,2,,122,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,5,,-,2,,0,,14,,18,,32,,25,,25,,
Brucellosis,2014,5,,-,5,,1,,104,,114,,79,,115,,115,,
Chancroid,2014,5,,-,,-,0,,11,,15,,8,,24,,28,,
Cholera,2014,5,,-,,-,0,,2,,17,,40,,13,,10,,
Cyclosporiasis§,2014,5,3,,3,,2,,664,,123,,151,,179,,141,,"MO (1 ), NC (2 )"
Diphtheria,2014,5,,-,,-,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,5,,-,1,,1,,22,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,5,1,,14,,5,,182,,205,,145,,200,,236,,DC (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,5,4,,28,,5,,209,,210,,226,,223,,178,,"MO (1 ), FL (2 ), OR (1 )"
Hansen disease§,2014,5,,-,,-,2,,64,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,5,,-,,-,0,,13,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,5,1,,3,,1,,227,,274,,290,,266,,242,,CA (1 )
"Hepatitis B, virus infection perinatal",2014,5,2,,4,,1,,51,,40,,,U,,U,,U,MO (2 )
"Influenza-associated pediatric mortality§,††",2014,5,3,,31,,5,,164,,52,,118,,61,,358,,"WI (1 ), AR (1 ), CA (1 )"
Leptospirosis,2014,5,,-,,-,,-,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,5,3,,39,,9,,673,,727,,870,,821,,851,,"OH (1 ), NC (2 )"
Measles§§,2014,5,5,,13,,2,,187,,55,,220,,63,,71,,"MA (1 ), TX (1 ), CA (3 )"
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,5,,-,12,,4,,117,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,5,,-,2,,3,,77,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,5,,-,2,,0,,14,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,5,6,,22,,9,,307,,260,,323,,406,,482,,"MA (1 ), FL (3 ), KY (1 ), OR (1 )"
Novel influenza A virus infections***,2014,5,,-,,-,32,,21,,313,,14,,4,,43774,,
Plague,2014,5,,-,,-,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,5,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,5,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,5,,-,,-,0,,7,,2,,2,,4,,9,,
"Q fever, total§",2014,5,,-,4,,2,,150,,135,,134,,131,,113,,
"Q fever, acute",2014,5,,-,4,,2,,116,,113,,110,,106,,93,,
"Q fever, chronic",2014,5,,-,,-,0,,34,,22,,24,,25,,20,,
"Rabies, human",2014,5,,-,,-,,-,,-,1,,6,,2,,4,,
Rubella†††,2014,5,,-,1,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,5,,-,,-,0,,,-,3,,,-,,-,2,,
SARS-CoV§,2014,5,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,5,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,5,1,,8,,4,,135,,194,,168,,142,,161,,ME (1 )
"Syphilis, congenital (age <1 yr)§§§",2014,5,,-,1,,8,,185,,322,,360,,377,,423,,
Tetanus,2014,5,,-,1,,0,,21,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,5,,-,2,,2,,65,,65,,78,,82,,74,,
Trichinellosis,2014,5,,-,,-,1,,19,,18,,15,,7,,13,,
Tularemia,2014,5,,-,,-,0,,195,,149,,166,,124,,93,,
Typhoid fever,2014,5,4,,10,,8,,322,,354,,390,,467,,397,,"MA (1 ), MD (1 ), FL (1 ), WA (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,5,1,,12,,2,,210,,134,,82,,91,,78,,OH (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,5,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,5,2,,18,,4,,1126,,1111,,832,,846,,789,,"NC (1 ), FL (1 )"
Viral hemorrhagic fever¶¶¶,2014,5,,-,,-,0,,,-,,-,,-,1,,,NN,
Yellow fever,2014,5,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,6,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,6,,-,,-,0,,83,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,6,,-,,-,,-,6,,15,,4,,10,,4,,
