Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2017,"Cum 2017, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2016,"Total cases reported  2016, flag",Total cases reported 2015,"Total cases reported 2015, flag",Total cases reported 2014,"Total cases reported 2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",States reporting cases during current week (No.) 
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,1,3,,3,,5,,227,,167,,39,,34,,37,,"OH (1 ), DE (1 ), CO (1 )"
Hansen's disease**,2017,1,,-,,-,2,,41,,89,,88,,81,,82,,
"Hantavirus**, Hantavirus infection, non-HPS",2017,1,,-,,-,,-,3,,3,,,NN,,NN,,NN,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,1,,-,,-,0,,19,,21,,32,,21,,30,,
"Hemolytic uremic syndrome, postdiarrheal**",2017,1,,-,,-,3,,258,,274,,250,,329,,274,,
"Hepatitis B, perinatal virus infection§§",2017,1,,-,,-,1,,25,,37,,47,,48,,40,,
"Influenza-associated pediatric mortality**,¶¶",2017,1,3,,3,,4,,74,,130,,141,,160,,52,,"KS (1 ), FL (1 ), OK (1 )"
Leptospirosis**,2017,1,,-,,-,0,,58,,40,,38,,,NN,,NN,
Listeriosis,2017,1,5,,5,,12,,670,,768,,769,,735,,727,,"NYC (2 ), FL (1 ), TN (1 ), CO (1 )"
Measles***,2017,1,1,,1,,6,,72,,188,,667,,187,,55,,CO (1 )
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,1,,-,,-,4,,93,,120,,123,,142,,161,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,1,,-,,-,2,,72,,111,,89,,99,,110,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,1,,-,,-,0,,14,,21,,25,,17,,20,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,1,3,,3,,5,,169,,120,,196,,298,,260,,"FL (1 ), OR (2 )"
Novel influenza A virus infections§§§,2017,1,,-,,-,0,,23,,7,,3,,21,,313,,
Plague,2017,1,,-,,-,,-,4,,16,,10,,4,,4,,
"Poliomyelitis, paralytic",2017,1,,-,,-,,-,,-,,-,,-,1,,,-,
"Polio virus Infection, nonparalytic**",2017,1,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis**,2017,1,,-,,-,0,,9,,4,,8,,6,,2,,
"Q fever, total**",2017,1,,-,,-,2,,136,,156,,168,,170,,135,,
"Q fever, acute**",2017,1,,-,,-,2,,108,,122,,132,,137,,113,,
"Q fever, chronic**",2017,1,,-,,-,0,,28,,34,,36,,33,,22,,
"Rabies, human",2017,1,,-,,-,,-,,-,2,,1,,2,,1,,
SARS-CoV,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome**,2017,1,,-,,-,6,,236,,335,,259,,224,,194,,
"Syphilis, congenital¶¶¶",2017,1,,-,,-,8,,438,,493,,458,,348,,322,,
Toxic-shock syndrome (other than staphylococcal)**,2017,1,,-,,-,1,,28,,64,,59,,71,,65,,
Trichinellosis**,2017,1,,-,,-,0,,20,,14,,14,,22,,18,,
Tularemia,2017,1,,-,,-,1,,199,,314,,180,,203,,149,,
Typhoid fever (caused by Salmonella typhi),2017,1,,-,,-,7,,312,,367,,349,,338,,354,,
Vancomycin-intermediate Staphylococcus aureus**,2017,1,,-,,-,3,,98,,183,,212,,248,,134,,
Vancomycin-resistant Staphylococcus aureus**,2017,1,,-,,-,,-,1,,3,,,-,,-,2,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,1,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,1,,-,,-,,-,,-,,-,4,,,NP,,NP,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,1,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,1,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lassa fever",2017,1,,-,,-,,-,,-,1,,1,,,NP,,NP,
"Viral hemorrhagic fever****, Lujo virus",2017,1,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,1,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Marburg fever",2017,1,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,1,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Yellow fever,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,
"Zika virus disease, non-congenital††††  ",2017,1,1,,1,,8,,4796,,,NN,,NN,,NN,,NN,OH (1 )
Anthrax,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2017,2,,-,,-,,-,,-,,-,1,,,-,1,,
Cholera,2017,2,,-,,-,0,,4,,5,,5,,14,,17,,
Novel influenza A virus infections§§§,2017,2,,-,,-,0,,23,,7,,3,,21,,313,,
"Poliomyelitis, paralytic",2017,2,,-,,-,,-,,-,,-,,-,1,,,-,
Trichinellosis**,2017,2,,-,,-,0,,20,,14,,14,,22,,18,,
"Viral hemorrhagic fever****, Lujo virus",2017,2,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Yellow fever,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,2,,-,,-,,-,,-,,-,4,,,NP,,NP,
"Q fever, chronic**",2017,2,1,,1,,1,,28,,34,,36,,33,,22,,PA (1 )
"Viral hemorrhagic fever****, Marburg fever",2017,2,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, foodborne",2017,2,,-,,-,0,,33,,37,,15,,4,,27,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Chikungunya virus disease",2017,2,,-,,-,6,,175,,896,,,NN,,NN,,NN,
"Rabies, human",2017,2,,-,,-,,-,,-,2,,1,,2,,1,,
Measles***,2017,2,2,,4,,7,,79,,188,,667,,187,,55,,CA (2 )
"Arboviral diseases¶,** Powassan virus disease",2017,2,,-,,-,,-,13,,7,,8,,12,,7,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,2,,-,,-,0,,15,,21,,32,,21,,30,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,2,,-,,-,0,,6,,6,,8,,8,,15,,
Plague,2017,2,,-,,-,,-,,-,16,,10,,4,,4,,
"Botulism, infant",2017,2,,-,1,,3,,126,,138,,127,,136,,123,,
Vancomycin-intermediate Staphylococcus aureus**,2017,2,2,,2,,3,,97,,183,,212,,248,,134,,"ME (1 ), OH (1 )"
"Q fever, acute**",2017,2,,-,,-,2,,108,,122,,132,,137,,113,,
Toxic-shock syndrome (other than staphylococcal)**,2017,2,,-,,-,1,,38,,64,,59,,71,,65,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,2,,-,,-,0,,15,,21,,25,,17,,20,,
Typhoid fever (caused by Salmonella typhi),2017,2,2,,2,,8,,318,,367,,349,,338,,354,,"NYC (1 ), MD (1 )"
"Viral hemorrhagic fever****, Lassa fever",2017,2,,-,,-,,-,,-,1,,1,,,NP,,NP,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,2,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,2,3,,5,,6,,167,,120,,196,,298,,260,,"VA (1 ), SC (1 ), FL (1 )"
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,2,,-,,-,,-,4,,11,,11,,22,,2,,
"Influenza-associated pediatric mortality**,¶¶",2017,2,2,,5,,5,,83,,130,,141,,160,,52,,"FL (1 ), NV (1 )"
"Botulism, total",2017,2,,-,1,,3,,183,,195,,161,,152,,168,,
Brucellosis,2017,2,1,,1,,2,,115,,126,,92,,99,,114,,NYC (1 )
SARS-CoV,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,2,,-,1,,2,,126,,135,,266,,233,,263,,
"Syphilis, congenital¶¶¶",2017,2,,-,,-,8,,440,,493,,458,,348,,322,,
"Polio virus Infection, nonparalytic**",2017,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,2,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,2,5,,8,,5,,229,,167,,39,,34,,37,,"OH (2 ), GA (1 ), FL (1 ), AZ (1 )"
"Hemolytic uremic syndrome, postdiarrheal**",2017,2,,-,,-,3,,263,,274,,250,,329,,274,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,2,,-,2,,5,,147,,175,,128,,141,,115,,
"Zika virus disease, non-congenital††††  ",2017,2,1,,2,,10,,4818,,,NN,,NN,,NN,,NN,PA (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,2,1,,1,,1,,22,,29,,40,,31,,30,,AZ (1 )
Smallpox,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, total**",2017,2,1,,1,,3,,136,,156,,168,,170,,135,,
Streptococcal toxic-shock syndrome**,2017,2,,-,,-,6,,243,,335,,259,,224,,194,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,2,,-,,-,,-,9,,23,,10,,1,,3,,
Leptospirosis**,2017,2,,-,,-,0,,58,,40,,38,,,NN,,NN,
"Arboviral diseases¶,** La Crosse virus disease",2017,2,,-,,-,,-,34,,55,,80,,85,,78,,
Tularemia,2017,2,,-,,-,1,,199,,314,,180,,203,,149,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,2,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hantavirus**, Hantavirus infection, non-HPS",2017,2,,-,,-,,-,3,,3,,,NN,,NN,,NN,
Psittacosis**,2017,2,,-,,-,0,,9,,4,,8,,6,,2,,
Hansen's disease**,2017,2,1,,1,,2,,43,,89,,88,,81,,82,,NYC (1 )
Cyclosporiasis**,2017,2,,-,,-,2,,499,,645,,388,,784,,123,,
"Botulism, other (wound and unspecified)",2017,2,,-,,-,0,,24,,20,,19,,12,,18,,
"Hepatitis B, perinatal virus infection§§",2017,2,,-,,-,1,,25,,37,,47,,48,,40,,
Listeriosis,2017,2,3,,9,,11,,692,,768,,769,,735,,727,,"NY (1 ), MD (1 ), FL (1 )"
Chancroid,2017,2,,-,,-,0,,11,,11,,,-,,-,15,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,2,,-,1,,4,,97,,120,,123,,142,,161,,
Vancomycin-resistant Staphylococcus aureus**,2017,2,,-,,-,,-,,-,3,,,-,,-,2,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,2,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,2,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,2,1,,1,,3,,73,,111,,89,,99,,110,,SC (1 )
Cyclosporiasis**,2017,3,,-,,-,1,,499,,645,,388,,784,,123,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,3,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Tularemia,2017,3,,-,,-,0,,201,,314,,180,,203,,149,,
"Botulism, total",2017,3,,-,1,,3,,183,,195,,161,,152,,168,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,3,,-,3,,3,,98,,120,,123,,142,,161,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,3,10,,17,,6,,167,,120,,196,,298,,260,,"PA (1 ), OH (3 ), FL (3 ), AZ (1 ), OR (1 ), CA (1 )"
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,3,,-,,-,0,,8,,23,,10,,1,,3,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,3,,-,,-,,-,,-,,-,4,,,NP,,NP,
"Viral hemorrhagic fever****, Lujo virus",2017,3,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Chikungunya virus disease",2017,3,,-,,-,6,,181,,896,,,NN,,NN,,NN,
"Poliomyelitis, paralytic",2017,3,,-,,-,,-,,-,,-,,-,1,,,-,
"Rabies, human",2017,3,,-,,-,,-,,-,2,,1,,2,,1,,
Trichinellosis**,2017,3,,-,,-,0,,20,,14,,14,,22,,18,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,3,,-,,-,0,,15,,21,,32,,21,,30,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,3,,-,,-,1,,22,,29,,40,,31,,30,,
Listeriosis,2017,3,3,,15,,8,,696,,768,,769,,735,,727,,"NY (2 ), TN (1 )"
"Arboviral diseases¶,** La Crosse virus disease",2017,3,,-,,-,,-,34,,55,,80,,85,,78,,
Plague,2017,3,,-,,-,,-,,-,16,,10,,4,,4,,
"Q fever, acute**",2017,3,,-,,-,2,,107,,122,,132,,137,,113,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,3,1,,3,,1,,126,,135,,266,,233,,263,,NY (1 )
"Influenza-associated pediatric mortality**,¶¶",2017,3,3,,8,,5,,83,,130,,141,,160,,52,,"SC (1 ), FL (1 ), CA (1 )"
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,3,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,
Chancroid,2017,3,,-,,-,0,,11,,11,,,-,,-,15,,
Leptospirosis**,2017,3,,-,,-,0,,57,,40,,38,,,NN,,NN,
"Polio virus Infection, nonparalytic**",2017,3,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,3,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Streptococcal toxic-shock syndrome**,2017,3,,-,4,,6,,253,,335,,259,,224,,194,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,3,,-,,-,,-,4,,11,,11,,22,,2,,
Measles***,2017,3,2,,9,,7,,79,,188,,667,,187,,55,,CA (2 )
"Hemolytic uremic syndrome, postdiarrheal**",2017,3,1,,2,,2,,271,,274,,250,,329,,274,,AZ (1 )
"Syphilis, congenital¶¶¶",2017,3,,-,3,,7,,447,,493,,458,,348,,322,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,3,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Marburg fever",2017,3,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, other (wound and unspecified)",2017,3,,-,,-,0,,24,,20,,19,,12,,18,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,3,,-,1,,2,,74,,111,,89,,99,,110,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,3,,-,,-,0,,16,,21,,25,,17,,20,,
SARS-CoV,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,
Brucellosis,2017,3,,-,1,,1,,114,,126,,92,,99,,114,,
"Hantavirus**, Hantavirus infection, non-HPS",2017,3,,-,,-,,-,3,,3,,,NN,,NN,,NN,
"Botulism, infant",2017,3,,-,1,,2,,126,,138,,127,,136,,123,,
Cholera,2017,3,,-,,-,0,,4,,5,,5,,14,,17,,
"Q fever, chronic**",2017,3,1,,2,,0,,29,,34,,36,,33,,22,,TN (1 )
"Botulism, foodborne",2017,3,,-,,-,0,,33,,37,,15,,4,,27,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,3,1,,8,,5,,231,,167,,39,,34,,37,,OH (1 )
Yellow fever,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,
Typhoid fever (caused by Salmonella typhi),2017,3,7,,11,,7,,325,,367,,349,,338,,354,,"OH (2 ), FL (5 )"
Vancomycin-intermediate Staphylococcus aureus**,2017,3,1,,3,,2,,98,,183,,212,,248,,134,,FL (1 )
"Arboviral diseases¶,** Powassan virus disease",2017,3,,-,,-,,-,13,,7,,8,,12,,7,,
"Zika virus disease, non-congenital††††  ",2017,3,1,,8,,12,,4842,,,NN,,NN,,NN,,NN,TX (1 )
"Hepatitis B, perinatal virus infection§§",2017,3,1,,1,,1,,25,,37,,47,,48,,40,,CA (1 )
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,3,,-,,-,0,,6,,6,,8,,8,,15,,
Anthrax,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Lassa fever",2017,3,,-,,-,,-,,-,1,,1,,,NP,,NP,
Novel influenza A virus infections§§§,2017,3,,-,,-,0,,23,,7,,3,,21,,313,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,3,,-,3,,5,,149,,175,,128,,141,,115,,
Hansen's disease**,2017,3,1,,3,,1,,43,,89,,88,,81,,82,,FL (1 )
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,3,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Psittacosis**,2017,3,,-,,-,0,,9,,4,,8,,6,,2,,
Toxic-shock syndrome (other than staphylococcal)**,2017,3,,-,,-,1,,46,,64,,59,,71,,65,,
Vancomycin-resistant Staphylococcus aureus**,2017,3,,-,,-,0,,,-,3,,,-,,-,2,,
Diphtheria,2017,3,,-,,-,,-,,-,,-,1,,,-,1,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,3,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Q fever, total**",2017,3,1,,2,,2,,136,,156,,168,,170,,135,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,4,,-,,-,1,,16,,21,,25,,17,,20,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,4,5,,15,,5,,238,,167,,39,,34,,37,,"NYC (1 ), NE (1 ), FL (2 ), AZ (1 )"
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,4,,-,,-,,-,,-,,-,4,,,NP,,NP,
Cholera,2017,4,,-,,-,0,,4,,5,,5,,14,,17,,
"Hepatitis B, perinatal virus infection§§",2017,4,,-,2,,1,,25,,37,,47,,48,,40,,
Listeriosis,2017,4,7,,30,,8,,701,,768,,769,,735,,727,,"NY (2 ), OH (1 ), FL (3 ), TX (1 )"
"Zika virus disease, non-congenital††††  ",2017,4,2,,25,,14,,4866,,,NN,,NN,,NN,,NN,"FL (1 ), TX (1 )"
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,4,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Vancomycin-intermediate Staphylococcus aureus**,2017,4,1,,4,,3,,98,,183,,212,,248,,134,,MD (1 )
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,4,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Streptococcal toxic-shock syndrome**,2017,4,1,,5,,6,,256,,335,,259,,224,,194,,CO (1 )
Vancomycin-resistant Staphylococcus aureus**,2017,4,,-,,-,0,,,-,3,,,-,,-,2,,
Brucellosis,2017,4,1,,2,,1,,114,,126,,92,,99,,114,,PA (1 )
Trichinellosis**,2017,4,,-,,-,0,,20,,14,,14,,22,,18,,
Yellow fever,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,
Tularemia,2017,4,1,,1,,0,,202,,314,,180,,203,,149,,PA (1 )
Measles***,2017,4,6,,16,,7,,78,,188,,667,,187,,55,,"PA (3 ), FL (2 ), CA (1 )"
Chancroid,2017,4,,-,,-,0,,10,,11,,,-,,-,15,,
Hansen's disease**,2017,4,1,,4,,1,,43,,89,,88,,81,,82,,FL (1 )
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,4,,-,3,,3,,99,,120,,123,,142,,161,,
"Syphilis, congenital¶¶¶",2017,4,,-,5,,8,,469,,493,,458,,348,,322,,
Tularemia,2017,5,,-,1,,0,,202,,314,,180,,203,,149,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,4,,-,5,,6,,149,,175,,128,,141,,115,,
"Hemolytic uremic syndrome, postdiarrheal**",2017,4,2,,5,,2,,271,,274,,250,,329,,274,,"NYC (1 ), FL (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,4,,-,,-,0,,22,,29,,40,,31,,30,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,4,,-,5,,3,,74,,111,,89,,99,,110,,
"Viral hemorrhagic fever****, Marburg fever",2017,4,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, infant",2017,4,1,,3,,2,,126,,138,,127,,136,,123,,TN (1 )
SARS-CoV,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Chikungunya virus disease",2017,4,,-,,-,4,,182,,896,,,NN,,NN,,NN,
"Rabies, human",2017,4,,-,,-,,-,,-,2,,1,,2,,1,,
"Arboviral diseases¶,** La Crosse virus disease",2017,4,,-,,-,,-,34,,55,,80,,85,,78,,
Psittacosis**,2017,4,,-,,-,0,,9,,4,,8,,6,,2,,
Plague,2017,4,,-,,-,,-,,-,16,,10,,4,,4,,
Toxic-shock syndrome (other than staphylococcal)**,2017,4,,-,,-,1,,46,,64,,59,,71,,65,,
"Arboviral diseases¶,** Powassan virus disease",2017,4,,-,,-,,-,14,,7,,8,,12,,7,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,4,,-,,-,0,,8,,23,,10,,1,,3,,
"Q fever, chronic**",2017,4,,-,3,,0,,29,,34,,36,,33,,22,,
Leptospirosis**,2017,4,,-,,-,0,,57,,40,,38,,,NN,,NN,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,4,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lujo virus",2017,4,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Cyclosporiasis**,2017,4,,-,1,,1,,500,,645,,388,,784,,123,,
"Botulism, foodborne",2017,4,,-,,-,0,,33,,37,,15,,4,,27,,
"Poliomyelitis, paralytic",2017,4,,-,,-,,-,,-,,-,,-,1,,,-,
Typhoid fever (caused by Salmonella typhi),2017,4,3,,16,,7,,328,,367,,349,,338,,354,,"NYC (1 ), VA (1 ), FL (1 )"
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,4,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, total**",2017,4,2,,5,,2,,138,,156,,168,,170,,135,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,4,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,4,,-,,-,,-,6,,11,,11,,22,,2,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,4,,-,3,,2,,127,,135,,266,,233,,263,,
"Influenza-associated pediatric mortality**,¶¶",2017,4,7,,15,,5,,83,,130,,141,,160,,52,,"NYC (3 ), MO (1 ), MS (1 ), WA (1 ), CA (1 )"
"Botulism, total",2017,4,1,,3,,3,,183,,195,,161,,152,,168,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,4,,-,,-,0,,15,,21,,32,,21,,30,,
Smallpox,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,4,,-,,-,0,,6,,6,,8,,8,,15,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,4,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lassa fever",2017,4,,-,,-,,-,,-,1,,1,,,NP,,NP,
Anthrax,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus**, Hantavirus infection, non-HPS",2017,4,,-,,-,,-,3,,3,,,NN,,NN,,NN,
"Q fever, acute**",2017,4,2,,2,,2,,109,,122,,132,,137,,113,,"OH (1 ), TX (1 )"
Novel influenza A virus infections§§§,2017,4,,-,,-,0,,23,,7,,3,,21,,313,,
Diphtheria,2017,4,,-,,-,,-,,-,,-,1,,,-,1,,
"Botulism, other (wound and unspecified)",2017,4,,-,,-,0,,24,,20,,19,,12,,18,,
"Polio virus Infection, nonparalytic**",2017,4,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,4,4,,18,,6,,170,,120,,196,,298,,260,,"OH (1 ), VA (1 ), CO (2 )"
"Zika virus disease, non-congenital††††  ",2017,5,1,,35,,14,,4883,,,NN,,NN,,NN,,NN,ME (1 )
SARS-CoV,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,
"Polio virus Infection, nonparalytic**",2017,5,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,5,,-,6,,3,,75,,111,,89,,99,,110,,
Chancroid,2017,5,,-,,-,0,,10,,11,,,-,,-,15,,
